omimId1	omimTitle	HgeneSymbol	omimId2	TgeneSymbol	diseaseName	pubmedId
	"FATTY ACID CoA LIGASE, LONG-CHAIN 6"	ACSL1	*604443	ETV6	acutemyeloidleukemia	10502316
*604443	"FATTY ACID CoA LIGASE, LONG-CHAIN 6"	ETV6		ACSL1	acutemyeloidleukemia	10502316
604443	ETS VARIANT GENE 6	ACSL5	600618	ETV6	myelodysplasticsyndromeandacutemyelogenousleukemia	10502316
600618	ETS VARIANT GENE 6	ETV6	604443	ACSL5	myelodysplasticsyndromeandacutemyelogenousleukemia	10502316
601542	PAIRED-LIKE HOMEODOMAIN TRANSCRIPTION FACTOR 2	ACTR1A	606850	MIPOL1	mildcraniofacialdysmorphismandagenesisofthecorpuscallosumwithoutlimborocularabnormalities	12700605
606850	PAIRED-LIKE HOMEODOMAIN TRANSCRIPTION FACTOR 2	MIPOL1	601542	ACTR1A	mildcraniofacialdysmorphismandagenesisofthecorpuscallosumwithoutlimborocularabnormalities	12700605
194050	WILLIAMS-BEUREN SYNDROME	ADAMTS10	604110	GPR56	Williams-Beurensyndrome	12080386
604110	WILLIAMS-BEUREN SYNDROME	GPR56	194050	ADAMTS10	Williams-Beurensyndrome	12080386
601568	"NUCLEOPORIN, 98-KD"	ADD3	601021	NUP98	T-cellacutelymphoblasticleukemia	12810632
601021	"NUCLEOPORIN, 98-KD"	NUP98	601568	ADD3	T-cellacutelymphoblasticleukemia	12810632
*601568	ADDUCIN 3	ADD3	601021	NUP98	T-cellacutelymphoblasticleukemiaandmyeloidmarkers	12810632
601021	ADDUCIN 3	NUP98	*601568	ADD3	T-cellacutelymphoblasticleukemiaandmyeloidmarkers	12810632
159557	"MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA, TRANSLOCATED TO, 2"	AFF1	159555	MLL	acuteleukemias	8506309
159555	"MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA, TRANSLOCATED TO, 2"	MLL	159557	AFF1	acuteleukemias	8506309
601464	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	AFF3	159555	MLL	infantacutelymphoblasticleukemia	12203795
159555	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	MLL	601464	AFF3	infantacutelymphoblasticleukemia	12203795
*601464	LYMPHOID NUCLEAR PROTEIN RELATED TO AF4	AFF3	159555	MLL	infantwithacutelymphoblasticleukemia	12661012
159555	LYMPHOID NUCLEAR PROTEIN RELATED TO AF4	MLL	*601464	AFF3	infantwithacutelymphoblasticleukemia	12661012
100650	ALDEHYDE DEHYDROGENASE 2 FAMILY	ALDH2	600698	HMGA2		8521389
600698	ALDEHYDE DEHYDROGENASE 2 FAMILY	HMGA2	100650	ALDH2		8521389
105590	"NUCLEOPHOSMIN/NUCLEOPLASMIN FAMILY, MEMBER 1"	ALK	*164040	NPM1	lymphoma	
*164040	"NUCLEOPHOSMIN/NUCLEOPLASMIN FAMILY, MEMBER 1"	NPM1	105590	ALK	lymphoma	
*105590	ANAPLASTIC LYMPHOMA KINASE	ALK	164040	NPM1	innon-Hodgkin'slymphoma	8122112
164040	ANAPLASTIC LYMPHOMA KINASE	NPM1	*105590	ALK	innon-Hodgkin'slymphoma	8122112
601487	PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR-GAMMA	ANGPTL4	167415	PAX8	humanthyroidfollicularcarcinomas	10958784
167415	PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR-GAMMA	PAX8	601487	ANGPTL4	humanthyroidfollicularcarcinomas	10958784
605370	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	ARHGAP26	159555	MLL	acutemyeloidleukemia	12527918
159555	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	MLL	605370	ARHGAP26	acutemyeloidleukemia	12527918
605370	GTPase REGULATOR ASSOCIATED WITH FOCAL ADHESION KINASE	ARHGAP26	159555	MLL	juvenilemyelomonocyticleukemia	10908648
159555	GTPase REGULATOR ASSOCIATED WITH FOCAL ADHESION KINASE	MLL	605370	ARHGAP26	juvenilemyelomonocyticleukemia	10908648
604763	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	ARHGEF12	159555	MLL	acutemyeloidleukemia	10681437
159555	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	MLL	604763	ARHGEF12	acutemyeloidleukemia	10681437
126110	ETS VARIANT GENE 6	ARNT	600618	ETV6	acutemyeloblasticleukemiawithmorphologyM2	10829078
600618	ETS VARIANT GENE 6	ETV6	126110	ARNT	acutemyeloblasticleukemiawithmorphologyM2	10829078
126110	ARYL HYDROCARBON RECEPTOR NUCLEAR TRANSLOCATOR	ARNT	600618	ETV6	acutemyeloblasticleukemiawithmorphologyM2	10829078
600618	ARYL HYDROCARBON RECEPTOR NUCLEAR TRANSLOCATOR	ETV6	126110	ARNT	acutemyeloblasticleukemiawithmorphologyM2	10829078
606236	TRANSCRIPTION FACTOR FOR IMMUNOGLOBULIN HEAVY-CHAIN ENHANCER 3	ASPSCR1	314310	TFE3	alveolarsoftpartsarcoma	11244503
314310	TRANSCRIPTION FACTOR FOR IMMUNOGLOBULIN HEAVY-CHAIN ENHANCER 3	TFE3	606236	ASPSCR1	alveolarsoftpartsarcoma	11244503
606236	"ALVEOLAR SOFT PART SARCOMA CHROMOSOME REGION, CANDIDATE 1"	ASPSCR1	314310	TFE3	humanalveolarsoftpartsarcoma	11244503
314310	"ALVEOLAR SOFT PART SARCOMA CHROMOSOME REGION, CANDIDATE 1"	TFE3	606236	ASPSCR1	humanalveolarsoftpartsarcoma	11244503
123803	EWING SARCOMA BREAKPOINT REGION 1	GDNF	133450	EWSR1	malignantmelanomaofsoftparts	8401579
133450	EWING SARCOMA BREAKPOINT REGION 1	EWSR1	123803	GDNF	malignantmelanomaofsoftparts	8401579
*123803	ACTIVATING TRANSCRIPTION FACTOR 1	GDNF	133450	EWSR1	malignantmelanomaofsoftparts	8401579
133450	ACTIVATING TRANSCRIPTION FACTOR 1	EWSR1	*123803	GDNF	malignantmelanomaofsoftparts	8401579
*123803	ACTIVATING TRANSCRIPTION FACTOR 1	GDNF	137070	FUS	angiomatoidfibroushistiocytoma	11063792
137070	ACTIVATING TRANSCRIPTION FACTOR 1	FUS	*123803	GDNF	angiomatoidfibroushistiocytoma	11063792
*136440	FOLLICULAR-VARIANT-TRANSLOCATION GENE	BCL2	147220	IGL@	B-cellchroniclymphocyticleukemiasandinfollicularlymphomas	8417785
147220	FOLLICULAR-VARIANT-TRANSLOCATION GENE	IGL@	*136440	BCL2	B-cellchroniclymphocyticleukemiasandinfollicularlymphomas	8417785
109565	B-CELL LYMPHOMA 6	BCL6	602833	HIST1H4I	non-Hodgkin'slymphoma	8988030
602833	B-CELL LYMPHOMA 6	HIST1H4I	109565	BCL6	non-Hodgkin'slymphoma	8988030
109565	"HISTONE 1, H4I"	BCL6	602833	HIST1H4I	non-Hodgkin'slymphoma	8988030
602833	"HISTONE 1, H4I"	HIST1H4I	109565	BCL6	non-Hodgkin'slymphoma	8988030
109565	B-CELL LYMPHOMA 6	BCL6	605383	IL21R	diffuselargeB-celllymphoma	11821949
605383	B-CELL LYMPHOMA 6	IL21R	109565	BCL6	diffuselargeB-celllymphoma	11821949
109565	INTERLEUKIN 21 RECEPTOR	BCL6	605383	IL21R	diffuselargeB-celllymphoma	11821949
605383	INTERLEUKIN 21 RECEPTOR	IL21R	109565	BCL6	diffuselargeB-celllymphoma	11821949
109565	"ZINC FINGER PROTEIN, SUBFAMILY 1A, MEMBER 1"	BCL6	603023	KCNN4	diffuselargeB-celllymphomas	
603023	"ZINC FINGER PROTEIN, SUBFAMILY 1A, MEMBER 1"	KCNN4	109565	BCL6	diffuselargeB-celllymphomas	
109565	B-CELL LYMPHOMA 6	BCL6	153430	TOX4	B-cellnon-Hodgkinlymphoma	10469447
153430	B-CELL LYMPHOMA 6	TOX4	109565	BCL6	B-cellnon-Hodgkinlymphoma	10469447
109565	LYMPHOCYTE CYTOSOLIC PROTEIN 1	BCL6	153430	TOX4	B-cellnon-Hodgkinlymphoma	10469447
153430	LYMPHOCYTE CYTOSOLIC PROTEIN 1	TOX4	109565	BCL6	B-cellnon-Hodgkinlymphoma	10469447
*602037	"RAS HOMOLOG GENE FAMILY, MEMBER H"	BCL6	139150	RHOH	lymphoma	7784061
139150	"RAS HOMOLOG GENE FAMILY, MEMBER H"	RHOH	*602037	BCL6	lymphoma	7784061
109565	B-CELL LYMPHOMA 6	BCL6	603023	IKZF1	diffuselargeB-celllymphoma	10753856
603023	B-CELL LYMPHOMA 6	IKZF1	109565	BCL6	diffuselargeB-celllymphoma	10753856
*602597	B-CELL CLL/LYMPHOMA 9	BCL9	147010	MRPL36		
147010	B-CELL CLL/LYMPHOMA 9	MRPL36	*602597	BCL9		
151410	BREAKPOINT CLUSTER REGION	BCR	136350	FGFR1	clinicalandhematologicChronicMyelogenousLeukemiachronicphase	11739186
136350	BREAKPOINT CLUSTER REGION	FGFR1	151410	BCR	clinicalandhematologicChronicMyelogenousLeukemiachronicphase	11739186
608232	"LEUKEMIA, CHRONIC MYELOID"	BCR	136350	FGFR1	clinicalandhematologicdiagnosisofChronicMyelogenousLeukemiainchronicphase	11739186
136350	"LEUKEMIA, CHRONIC MYELOID"	FGFR1	608232	BCR	clinicalandhematologicdiagnosisofChronicMyelogenousLeukemiainchronicphase	11739186
151410	FIBROBLAST GROWTH FACTOR RECEPTOR 1	BCR	136350	FGFR1	aclinicalandhematologicdiagnosisofchronicmyeloidleukemia	11739186
136350	FIBROBLAST GROWTH FACTOR RECEPTOR 1	FGFR1	151410	BCR	aclinicalandhematologicdiagnosisofchronicmyeloidleukemia	11739186
151410	BREAKPOINT CLUSTER REGION	BCR	173490	PDGFRA	chronicmyeloidleukaemia	12023981
173490	BREAKPOINT CLUSTER REGION	PDGFRA	151410	BCR	chronicmyeloidleukaemia	12023981
151410	"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, ALPHA"	BCR	*173490	PDGFRA	ChronicMyelogenousLeukemia-likemyeloproliferativedisease	12023981
*173490	"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, ALPHA"	PDGFRA	151410	BCR	ChronicMyelogenousLeukemia-likemyeloproliferativedisease	12023981
608749	BROMODOMAIN-CONTAINING PROTEIN 4	BRD4	608963	C15ORF55	aggressivecarcinoma	12543779
608963	BROMODOMAIN-CONTAINING PROTEIN 4	C15ORF55	608749	BRD4	aggressivecarcinoma	12543779
608749	NUCLEAR PROTEIN IN TESTIS	BRD4	608963	C15ORF55	aggressivecarcinoma	12543779
608963	NUCLEAR PROTEIN IN TESTIS	C15ORF55	608749	BRD4	aggressivecarcinoma	12543779
606417	WD REPEAT-CONTAINING PROTEIN 11	BRWD2	606427	ZNF320	glioblastoma	11536051
606427	WD REPEAT-CONTAINING PROTEIN 11	ZNF320	606417	BRWD2	glioblastoma	11536051
606417	ZINC FINGER PROTEIN 320	BRWD2	606427	ZNF320	humanglioblastomacells	11536051
606427	ZINC FINGER PROTEIN 320	ZNF320	606417	BRWD2	humanglioblastomacells	11536051
109580	B-CELL TRANSLOCATION GENE 1	BTG1	190080	MYC	B-cellchroniclymphocyticleukemia	2069907
190080	B-CELL TRANSLOCATION GENE 1	MYC	109580	BTG1	B-cellchroniclymphocyticleukemia	2069907
*608231	CHROMOSOME 12 OPEN READING FRAME 2	CSRNP2	135820	FBLN1	metacarpalandmetatarsalsynostosis	11836357
135820	CHROMOSOME 12 OPEN READING FRAME 2	FBLN1	*608231	CSRNP2	metacarpalandmetatarsalsynostosis	11836357
600542	"NUCLEAR RECEPTOR SUBFAMILY 4, GROUP A, MEMBER 3"	OSCP1	133450	EWSR1	Extraskeletalmyxoidchondrosarcomas	7539287
133450	"NUCLEAR RECEPTOR SUBFAMILY 4, GROUP A, MEMBER 3"	EWSR1	600542	OSCP1	Extraskeletalmyxoidchondrosarcomas	7539287
600542	CHONDROSARCOMA	OSCP1	#215300	EWSR1	extraskeletalmyxoidchondrosarcoma	12378528
#215300	CHONDROSARCOMA	EWSR1	600542	OSCP1	extraskeletalmyxoidchondrosarcoma	12378528
600542	"NUCLEAR RECEPTOR SUBFAMILY 4, GROUP A, MEMBER 3"	OSCP1	601574	TAF15	extraskeletalmyxoidchondrosarcomas	10602519
601574	"NUCLEAR RECEPTOR SUBFAMILY 4, GROUP A, MEMBER 3"	TAF15	600542	OSCP1	extraskeletalmyxoidchondrosarcomas	10602519
600542	CHONDROSARCOMA	OSCP1	#215300	TAF15	extraskeletalmyxoidchondrosarcoma	12378528
#215300	CHONDROSARCOMA	TAF15	600542	OSCP1	extraskeletalmyxoidchondrosarcoma	12378528
600542	"NUCLEAR RECEPTOR SUBFAMILY 4, GROUP A, MEMBER 3"	OSCP1	600480	TCF12	extraskeletalmyxoidchondrosarcoma	11156374
600480	"NUCLEAR RECEPTOR SUBFAMILY 4, GROUP A, MEMBER 3"	TCF12	600542	OSCP1	extraskeletalmyxoidchondrosarcoma	11156374
114350	DEK ONCOGENE	CABIN1	*125264	DEK	acutemyeloidleukemia	1549122
*125264	DEK ONCOGENE	DEK	114350	CABIN1	acutemyeloidleukemia	1549122
609173	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	CASC5	159555	MLL	acutemyeloblasticleukemiawithmorphologyM4	12618768
159555	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	MLL	609173	CASC5	acutemyeloblasticleukemiawithmorphologyM4	12618768
609173	ALL1-FUSED GENE FROM CHROMOSOME 15q14	CASC5	159555	MLL	acutemyeloblasticleukemiawithmorphologyM4	12618768
159555	ALL1-FUSED GENE FROM CHROMOSOME 15q14	MLL	609173	CASC5	acutemyeloblasticleukemiawithmorphologyM4	12618768
603870	"CORE-BINDING FACTOR, ALPHA SUBUNIT 2, TRANSLOCATED TO, 3"	CBFA2T3	151385	RUNX1	therapy-relatedmyeloidmalignancies	9596646
151385	"CORE-BINDING FACTOR, ALPHA SUBUNIT 2, TRANSLOCATED TO, 3"	RUNX1	603870	CBFA2T3	therapy-relatedmyeloidmalignancies	9596646
165360	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	CBL	159555	MLL	acutemyeloidleukemia	12696071
159555	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	MLL	165360	CBL	acutemyeloidleukemia	12696071
*601985	H4 GENE	CCDC6	188550	CCDC6	papillarythyroidcarcinoma	2000227
188550	H4 GENE	CCDC6	*601985	CCDC6	papillarythyroidcarcinoma	2000227
*601985	H4 GENE	CCDC6	131440	CCDC6	BCR-ABL-negativemyeloproliferativedisorders	10910073
131440	H4 GENE	CCDC6	*601985	CCDC6	BCR-ABL-negativemyeloproliferativedisorders	10910073
164761	ELKS GENE	CCDC6	*607127	KCNH8	papillarythyroidcarcinoma	10337992
*607127	ELKS GENE	KCNH8	164761	CCDC6	papillarythyroidcarcinoma	10337992
601985	"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, BETA"	CCDC6	173410	PDGFRB	chronicmyeloproliferativedisorders	12181402
173410	"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, BETA"	PDGFRB	601985	CCDC6	chronicmyeloproliferativedisorders	12181402
168461	CYCLIN D1	CCND1	605343	FSTL3	B-cellchroniclymphocyticleukemia	8499640
605343	CYCLIN D1	FSTL3	168461	CCND1	B-cellchroniclymphocyticleukemia	8499640
168461	FOLLISTATIN-LIKE 3	CCND1	605343	FSTL3	B-cellchroniclymphocyticleukemiacelllineinwhichanaberrantcyclinD1	9671416
605343	FOLLISTATIN-LIKE 3	FSTL3	168461	CCND1	B-cellchroniclymphocyticleukemiacelllineinwhichanaberrantcyclinD1	9671416
168461	CYCLIN D1	CCND1	147100	IGHG1	chroniclymphocyticleukemiacellsoftheB-celltype	3923362
147100	CYCLIN D1	IGHG1	168461	CCND1	chroniclymphocyticleukemiacellsoftheB-celltype	3923362
168461	IgG HEAVY CHAIN LOCUS	CCND1	147100	IGHG1	ystemicamyloidosis	
147100	IgG HEAVY CHAIN LOCUS	IGHG1	168461	CCND1	ystemicamyloidosis	
607924	ALPHA GENE	MCM2	600744	TFEB	renaltumors	12719541
600744	ALPHA GENE	TFEB	607924	MCM2	renaltumors	12719541
606078	MEGAKARYOBLASTIC LEUKEMIA 1 GENE	CD8A	606077	RBM15	acutemegakaryoblasticleukemia	12944485
606077	MEGAKARYOBLASTIC LEUKEMIA 1 GENE	RBM15	606078	CD8A	acutemegakaryoblasticleukemia	12944485
605496	FIBROBLAST GROWTH FACTOR RECEPTOR 1	CDC42EP1	136350	FGFR1	myeloproliferativedisorder	10688839
136350	FIBROBLAST GROWTH FACTOR RECEPTOR 1	FGFR1	605496	CDC42EP1	myeloproliferativedisorder	10688839
602868	UPSTREAM STIMULATORY FACTOR 2	CDC5L	600390	USF2	multicysticrenaldysplasia	9598309
600390	UPSTREAM STIMULATORY FACTOR 2	USF2	602868	CDC5L	multicysticrenaldysplasia	9598309
602868	"CELL DIVISION CYCLE 5, S. POMBE, HOMOLOG-LIKE"	CDC5L	600390	USF2	MulticysticRenalDysplasia	9598309
600390	"CELL DIVISION CYCLE 5, S. POMBE, HOMOLOG-LIKE"	USF2	602868	CDC5L	MulticysticRenalDysplasia	9598309
603368	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	CDK6	159555	MLL	acutelymphoblasticleukemia	11930009
159555	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	MLL	603368	CDK6	acutelymphoblasticleukemia	11930009
126337	"FUSION, DERIVED FROM 12-16 TRANSLOCATION, MALIGNANT LIPOSARCOMA"	CEBPZ	*137070	FUS	malignantliposarcoma	7503811
*137070	"FUSION, DERIVED FROM 12-16 TRANSLOCATION, MALIGNANT LIPOSARCOMA"	FUS	126337	CEBPZ	malignantliposarcoma	7503811
602989	"PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE, ISOFORM 1B, GAMMA SUBUNIT"	CLK2	603074	PAFAH1B3	"mentalretardation,ataxia"	11285245
603074	"PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE, ISOFORM 1B, GAMMA SUBUNIT"	PAFAH1B3	602989	CLK2	"mentalretardation,ataxia"	11285245
602989	CDC-LIKE KINASE 2	CLK2	603074	PAFAH1B3	"mentalretardation,ataxiaandatrophyofthebrain"	11285245
603074	CDC-LIKE KINASE 2	PAFAH1B3	602989	CLK2	"mentalretardation,ataxiaandatrophyofthebrain"	11285245
*118955	"CLATHRIN, HEAVY POLYPEPTIDE"	CLTC	314310	SLTM	pediatricrenaladenocarcinoma	12917640
314310	"CLATHRIN, HEAVY POLYPEPTIDE"	SLTM	*118955	CLTC	pediatricrenaladenocarcinoma	12917640
118955	TRANSCRIPTION FACTOR FOR IMMUNOGLOBULIN HEAVY-CHAIN ENHANCER 3	CLTC	314310	TFE3	renalcellcarcinoma	12917640
314310	TRANSCRIPTION FACTOR FOR IMMUNOGLOBULIN HEAVY-CHAIN ENHANCER 3	TFE3	118955	CLTC	renalcellcarcinoma	12917640
601273	"CLATHRIN, HEAVY POLYPEPTIDE-LIKE 1"	CLTCL1		DGCR14	"DiGeorgesyndrome,Velocardiofacialsyndrome,facialdysmorphia,mentalretardation,longslenderdigits,genitalanomalies,first-degreehypospadiasandilateralcryptorchidism"	9147638
	"CLATHRIN, HEAVY POLYPEPTIDE-LIKE 1"	DGCR14	601273	CLTCL1	"DiGeorgesyndrome,Velocardiofacialsyndrome,facialdysmorphia,mentalretardation,longslenderdigits,genitalanomalies,first-degreehypospadiasandilateralcryptorchidism"	9147638
120150	"PLATELET-DERIVED GROWTH FACTOR, BETA POLYPEPTIDE"	COL1A1	190040	PDGFB	Dermatofibrosarcomaprotuberans	8988177
190040	"PLATELET-DERIVED GROWTH FACTOR, BETA POLYPEPTIDE"	PDGFB	120150	COL1A1	Dermatofibrosarcomaprotuberans	8988177
608834	"FUSION, DERIVED FROM 12-16 TRANSLOCATION, MALIGNANT LIPOSARCOMA"	CREB3L2	*137070	FUS	lowgradefibromyxoidsarcoma	12915480
*137070	"FUSION, DERIVED FROM 12-16 TRANSLOCATION, MALIGNANT LIPOSARCOMA"	FUS	608834	CREB3L2	lowgradefibromyxoidsarcoma	12915480
608834	cAMP RESPONSE ELEMENT-BINDING PROTEIN 3-LIKE 2	CREB3L2	137070	FUS	Low-gradefibromyxoidsarcoma	12915480
137070	cAMP RESPONSE ELEMENT-BINDING PROTEIN 3-LIKE 2	FUS	608834	CREB3L2	Low-gradefibromyxoidsarcoma	12915480
600140	CREB-BINDING PROTEIN	CREBBP	159555	MLL	acuteleukemiaormyelodysplasiasecondarytotherapywithdrugstargetingDNAtopoisomeraseII	9238046
159555	CREB-BINDING PROTEIN	MLL	600140	CREBBP	acuteleukemiaormyelodysplasiasecondarytotherapywithdrugstargetingDNAtopoisomeraseII	9238046
600140	CREB-BINDING PROTEIN	CREBBP	601408	MYST3	"acutemyeloblasticleukemia,monocyticdifferentiation,erythrophagocytosis,andapoorresponsetochemotherapy"	
601408	CREB-BINDING PROTEIN	MYST3	600140	CREBBP	"acutemyeloblasticleukemia,monocyticdifferentiation,erythrophagocytosis,andapoorresponsetochemotherapy"	
600140	ZINC FINGER PROTEIN 220	CREBBP	601408	MYST3	acutemyeloidleukemiawithmorphologyM4andM5	8782817
601408	ZINC FINGER PROTEIN 220	MYST3	600140	CREBBP	acutemyeloidleukemiawithmorphologyM4andM5	8782817
600140	CREB-BINDING PROTEIN	CREBBP	605880	MYST4	childhoodacutemyelogenousleukemiawithmorphologyM5a	
605880	CREB-BINDING PROTEIN	MYST4	600140	CREBBP	childhoodacutemyelogenousleukemiawithmorphologyM5a	
*605880	MONOCYTIC LEUKEMIA ZINC FINGER PROTEIN-RELATED FACTOR	CREBBP	600140	MYST4	AcuteMyelogenousLeukemiawithmorphologyM5a	11157802
600140	MONOCYTIC LEUKEMIA ZINC FINGER PROTEIN-RELATED FACTOR	MYST4	*605880	CREBBP	AcuteMyelogenousLeukemiawithmorphologyM5a	11157802
116806	"SALIVARY GLAND ADENOMA, PLEOMORPHIC"	CTNNB1	181030	PLAG1	salivaryglandtumors	10029085
181030	"SALIVARY GLAND ADENOMA, PLEOMORPHIC"	PLAG1	116806	CTNNB1	salivaryglandtumors	10029085
	"NUCLEOPORIN, 98-KD"	CUX1	601021	NUP98	AcuteMyelogenousLeukemia	11986249
601021	"NUCLEOPORIN, 98-KD"	NUP98		CUX1	AcuteMyelogenousLeukemia	11986249
607790	CXXC FINGER PROTEIN 6	TET1	12124344	MLL	"leukemiccelllines,notEBV-inducednormalB-celllines."	12124344
12124344	CXXC FINGER PROTEIN 6	MLL	607790	TET1	"leukemiccelllines,notEBV-inducednormalB-celllines."	12124344
151900	"LIPOMATOSIS, MULTIPLE"	DDIT3	137070	FUS	"malignantliposarcoma,myxoidliposarcoma"	8453640
137070	"LIPOMATOSIS, MULTIPLE"	FUS	151900	DDIT3	"malignantliposarcoma,myxoidliposarcoma"	8453640
126337	DNA DAMAGE-INDUCIBLE TRANSCRIPT 3	DDIT3	137070	FUS	myxoidliposarcomas	8510758
137070	DNA DAMAGE-INDUCIBLE TRANSCRIPT 3	FUS	126337	DDIT3	myxoidliposarcomas	8510758
601235	"NUCLEOPORIN, 98-KD"	DDX10	601021	NUP98	acutemyeloidleukemia	11986249
601021	"NUCLEOPORIN, 98-KD"	NUP98	601235	DDX10	acutemyeloidleukemia	11986249
601235	"NUCLEOPORIN, 98-KD"	DDX10	601021	NUP98	AcuteMyelogenousLeukemia	11986249
601021	"NUCLEOPORIN, 98-KD"	NUP98	601235	DDX10	AcuteMyelogenousLeukemia	11986249
125264	"NUCLEOPORIN, 214-KD"	DEK	114350	NUP214	"acutemyeloidleukemia,acutenonlymphocyticleukemia"	2370860
114350	"NUCLEOPORIN, 214-KD"	NUP214	125264	DEK	"acutemyeloidleukemia,acutenonlymphocyticleukemia"	2370860
606423	RENAL CELL CARCINOMA 1	DIRC1	144700	RCC1	familialRenalCellCarcinoma	11587072
144700	RENAL CELL CARCINOMA 1	RCC1	606423	DIRC1	familialRenalCellCarcinoma	11587072
608262	DISRUPTED IN RENAL CARCINOMA 3	DIRC3	608263	HSPBAP1	familialrenalcellcancer	12939738
608263	DISRUPTED IN RENAL CARCINOMA 3	HSPBAP1	608262	DIRC3	familialrenalcellcancer	12939738
*608263	HEAT-SHOCK 27-KD PROTEIN-ASSOCIATED PROTEIN 1	DIRC3	602773	HSPBAP1	renalcellcancer	12939738
