A1BG	alpha-1-B_glycoprotein
ABCC8	ATP_binding_cassette_subfamily_C_member_8
ABCC9	ATP_binding_cassette_subfamily_C_member_9
ABCC10	ATP_binding_cassette_subfamily_C_member_10
ABCC11	ATP_binding_cassette_subfamily_C_member_11
ABCC12	ATP_binding_cassette_subfamily_C_member_12
ABCC13	ATP_binding_cassette_subfamily_C_member_13_(pseudogene)
ABCD1	ATP_binding_cassette_subfamily_D_member_1
ABCD1P1	ATP_binding_cassette_subfamily_D_member_1_pseudogene_1
ABCD1P2	ATP_binding_cassette_subfamily_D_member_1_pseudogene_2
ABCD1P3	ATP_binding_cassette_subfamily_D_member_1_pseudogene_3
ABCD1P4	ATP_binding_cassette_subfamily_D_member_1_pseudogene_4
ABCD1P5	ATP_binding_cassette_subfamily_D_member_1_pseudogene_5
ABCD2	ATP_binding_cassette_subfamily_D_member_2
ABCD3	ATP_binding_cassette_subfamily_D_member_3
ABCD4	ATP_binding_cassette_subfamily_D_member_4
ABCE1	ATP_binding_cassette_subfamily_E_member_1
ABCF1	ATP_binding_cassette_subfamily_F_member_1
ABCF2	ATP_binding_cassette_subfamily_F_member_2
ABCF2P1	ATP_binding_cassette_subfamily_F_member_2_pseudogene_1
ABCF2P2	ATP_binding_cassette_subfamily_F_member_2_pseudogene_2
ABCF3	ATP_binding_cassette_subfamily_F_member_3
ABCG1	ATP_binding_cassette_subfamily_G_member_1
ABCG2	ATP_binding_cassette_subfamily_G_member_2_(Junior_blood_group)
ABCG4	ATP_binding_cassette_subfamily_G_member_4
ABCG5	ATP_binding_cassette_subfamily_G_member_5
ABCG8	ATP_binding_cassette_subfamily_G_member_8
ABHD1	abhydrolase_domain_containing_1
ABHD2	abhydrolase_domain_containing_2
ABHD3	abhydrolase_domain_containing_3
ABHD4	abhydrolase_domain_containing_4
ABHD5	abhydrolase_domain_containing_5
ABHD6	abhydrolase_domain_containing_6
ABHD8	abhydrolase_domain_containing_8
ABHD10	abhydrolase_domain_containing_10
ABHD11	abhydrolase_domain_containing_11
ABHD11-AS1	ABHD11_antisense_RNA_1_(tail_to_tail)
ABHD12	abhydrolase_domain_containing_12
ABHD12B	abhydrolase_domain_containing_12B
ABHD13	abhydrolase_domain_containing_13
ABHD14A	abhydrolase_domain_containing_14A
ABHD14A-ACY1	ABHD14A-ACY1_readthrough
ABHD14B	abhydrolase_domain_containing_14B
ABHD15	abhydrolase_domain_containing_15
ABHD15-AS1	ABHD15_antisense_RNA_1
ABHD16A	abhydrolase_domain_containing_16A
ABHD16B	abhydrolase_domain_containing_16B
ABHD17A	abhydrolase_domain_containing_17A
ABHD17AP1	abhydrolase_domain_containing_17A_pseudogene_1
ABHD17AP3	abhydrolase_domain_containing_17A_pseudogene_3
ABHD17AP4	abhydrolase_domain_containing_17A_pseudogene_P4
ABHD17AP5	abhydrolase_domain_containing_17A_pseudogene_5
ABHD17AP6	abhydrolase_domain_containing_17A_pseudogene_6
ABHD17AP7	abhydrolase_domain_containing_17A_pseudogene_7
ABHD17AP8	abhydrolase_domain_containing_17A_pseudogene_8
ABHD17AP9	abhydrolase_domain_containing_17A_pseudogene_9
ABHD17B	abhydrolase_domain_containing_17B
ABHD17C	abhydrolase_domain_containing_17C
ABHD18	abhydrolase_domain_containing_18
ABI1	abl_interactor_1
ABI1P1	abl-interactor_1_pseudogene_1
ABI2	abl-interactor_2
ABI3	ABI_family_member_3
ABI3BP	ABI_family_member_3_binding_protein
ABL1	ABL_proto-oncogene_1,_non-receptor_tyrosine_kinase
ABL2	ABL_proto-oncogene_2,_non-receptor_tyrosine_kinase
ABLIM1	actin_binding_LIM_protein_1
ABLIM2	actin_binding_LIM_protein_family_member_2
ABLIM3	actin_binding_LIM_protein_family_member_3
ABO	ABO_blood_group_(transferase_A,_alpha_1-3-N-acetylgalactosaminyltransferase;_transferase_B,_alpha_1-3-galactosyltransferase)
ABR	active_BCR-related
ABRA	actin_binding_Rho_activating_protein
ABRACL	ABRA_C-terminal_like
ABT1	activator_of_basal_transcription_1
ABT1P1	activator_of_basal_transcription_1_pseudogene_1
ABTB1	ankyrin_repeat_and_BTB_domain_containing_1
ABTB2	ankyrin_repeat_and_BTB_domain_containing_2
ACAA1	acetyl-CoA_acyltransferase_1
ACAA2	acetyl-CoA_acyltransferase_2
ACACA	acetyl-CoA_carboxylase_alpha
ACACB	acetyl-CoA_carboxylase_beta
ACAD8	acyl-CoA_dehydrogenase_family_member_8
ACAD9	acyl-CoA_dehydrogenase_family_member_9
ACAD10	acyl-CoA_dehydrogenase_family_member_10
ACAD11	acyl-CoA_dehydrogenase_family_member_11
ACADL	acyl-CoA_dehydrogenase,_long_chain
ACADM	acyl-CoA_dehydrogenase,_C-4_to_C-12_straight_chain
ACADS	acyl-CoA_dehydrogenase,_C-2_to_C-3_short_chain
ACADSB	acyl-CoA_dehydrogenase,_short/branched_chain
ACADVL	acyl-CoA_dehydrogenase,_very_long_chain
ACAN	aggrecan
ACAP1	ArfGAP_with_coiled-coil,_ankyrin_repeat_and_PH_domains_1
ACAP2	ArfGAP_with_coiled-coil,_ankyrin_repeat_and_PH_domains_2
ACAP2-IT1	ACAP2_intronic_transcript_1
ACAP3	ArfGAP_with_coiled-coil,_ankyrin_repeat_and_PH_domains_3
ACAT1	acetyl-CoA_acetyltransferase_1
ACAT2	acetyl-CoA_acetyltransferase_2
ACBD3	acyl-CoA_binding_domain_containing_3
ACBD4	acyl-CoA_binding_domain_containing_4
ACBD5	acyl-CoA_binding_domain_containing_5
ACBD6	acyl-CoA_binding_domain_containing_6
ACBD7	acyl-CoA_binding_domain_containing_7
ACCS	1-aminocyclopropane-1-carboxylate_synthase_homolog_(inactive)
ACCSL	1-aminocyclopropane-1-carboxylate_synthase_(inactive)-like
ACD	adrenocortical_dysplasia_homolog
ACE	angiotensin_I_converting_enzyme
ACE2	angiotensin_I_converting_enzyme_2
ACE3P	angiotensin_I_converting_enzyme_(peptidyl-dipeptidase_A)_3,_pseudogene
ACER1	alkaline_ceramidase_1
ACER2	alkaline_ceramidase_2
ACER3	alkaline_ceramidase_3
ACHE	acetylcholinesterase_(Cartwright_blood_group)
ACIN1	apoptotic_chromatin_condensation_inducer_1
ACKR1	atypical_chemokine_receptor_1_(Duffy_blood_group)
ACKR2	atypical_chemokine_receptor_2
ACKR3	atypical_chemokine_receptor_3
ACKR4	atypical_chemokine_receptor_4
ACLS	acrocallosal_syndrome
ACLY	ATP_citrate_lyase
ACMSD	aminocarboxymuconate_semialdehyde_decarboxylase
ACO1	aconitase_1
ACO2	aconitase_2
ACOD1	aconitate_decarboxylase_1
ACOT1	acyl-CoA_thioesterase_1
ACOT2	acyl-CoA_thioesterase_2
ACOT4	acyl-CoA_thioesterase_4
ACOT6	acyl-CoA_thioesterase_6
ACOT7	acyl-CoA_thioesterase_7
ACOT8	acyl-CoA_thioesterase_8
ACOT9	acyl-CoA_thioesterase_9
ACOT11	acyl-CoA_thioesterase_11
ACOT12	acyl-CoA_thioesterase_12
ACOT13	acyl-CoA_thioesterase_13
ACOX1	acyl-CoA_oxidase_1,_palmitoyl
ACOX2	acyl-CoA_oxidase_2,_branched_chain
ACOX3	acyl-CoA_oxidase_3,_pristanoyl
ACOXL	acyl-CoA_oxidase-like
ACP1	acid_phosphatase_1,_soluble
ACP2	acid_phosphatase_2,_lysosomal
ACP5	acid_phosphatase_5,_tartrate_resistant
ACP6	acid_phosphatase_6,_lysophosphatidic
ACP7	acid_phosphatase_7,_tartrate_resistant_(putative)
ACPP	acid_phosphatase,_prostate
ACPT	acid_phosphatase,_testicular
ACR	acrosin
ACRBP	acrosin_binding_protein
ACRC	acidic_repeat_containing
ACRV1	acrosomal_vesicle_protein_1
ACSBG1	acyl-CoA_synthetase_bubblegum_family_member_1
ACSBG2	acyl-CoA_synthetase_bubblegum_family_member_2
ACSF2	acyl-CoA_synthetase_family_member_2
ACSF3	acyl-CoA_synthetase_family_member_3
ACSL1	acyl-CoA_synthetase_long-chain_family_member_1
ACSL3	acyl-CoA_synthetase_long-chain_family_member_3
ACSL4	acyl-CoA_synthetase_long-chain_family_member_4
ACSL5	acyl-CoA_synthetase_long-chain_family_member_5
ACSL6	acyl-CoA_synthetase_long-chain_family_member_6
ACSM1	acyl-CoA_synthetase_medium-chain_family_member_1
ACSM2A	acyl-CoA_synthetase_medium-chain_family_member_2A
ACSM2B	acyl-CoA_synthetase_medium-chain_family_member_2B
ACSM3	acyl-CoA_synthetase_medium-chain_family_member_3
ACSM4	acyl-CoA_synthetase_medium-chain_family_member_4
ACSM5	acyl-CoA_synthetase_medium-chain_family_member_5
ACSM5P1	acyl-CoA_synthetase_medium-chain_family_member_5_pseudogene_1
ACSM6	acyl-CoA_synthetase_medium-chain_family_member_6
ACSS1	acyl-CoA_synthetase_short-chain_family_member_1
ACSS2	acyl-CoA_synthetase_short-chain_family_member_2
ACSS3	acyl-CoA_synthetase_short-chain_family_member_3
ACTA1	actin,_alpha_1,_skeletal_muscle
ACTA2	actin,_alpha_2,_smooth_muscle,_aorta
ACTA2-AS1	ACTA2_antisense_RNA_1
ACTB	actin,_beta
ACTBL2	actin,_beta-like_2
ACTBP1	actin,_beta_pseudogene_1
ACTBP2	actin,_beta_pseudogene_2
ACTBP3	actin,_beta_pseudogene_3
ACTBP4	actin,_beta_pseudogene_4
ACTBP6	actin,_beta_pseudogene_6
ACTBP7	actin,_beta_pseudogene_7
ACTBP8	actin,_beta_pseudogene_8
ACTBP9	actin,_beta_pseudogene_9
ACTBP10	actin,_beta_pseudogene_10
ACTBP11	actin,_beta_pseudogene_11
ACTBP12	actin,_beta_pseudogene_12
ACTBP13	actin,_beta_pseudogene_13
ACTBP14	actin,_beta_pseudogene_14
ACTC1	actin,_alpha,_cardiac_muscle_1
ACTG1	actin_gamma_1
ACTG1P1	actin_gamma_1_pseudogene_1
ACTG1P2	actin_gamma_1_pseudogene_2
ACTG1P3	actin_gamma_1_pseudogene_3
ACTG1P4	actin_gamma_1_pseudogene_4
ACTG1P6	actin_gamma_1_pseudogene_6
ACTG1P7	actin_gamma_1_pseudogene_7
ACTG1P8	actin_gamma_1_pseudogene_8
ACTG1P9	actin_gamma_1_pseudogene_9
ACTG1P10	actin_gamma_1_pseudogene_10
ACTG1P11	actin_gamma_1_pseudogene_11
ACTG1P12	actin_gamma_1_pseudogene_12
ACTG1P13	actin_gamma_1_pseudogene_13
ACTG1P14	actin_gamma_1_pseudogene_14
ACTG1P15	actin_gamma_1_pseudogene_15
ACTG1P16	actin_gamma_1_pseudogene_16
ACTG1P17	actin_gamma_1_pseudogene_17
ACTG1P18	actin_gamma_1_pseudogene_18
ACTG1P19	actin_gamma_1_pseudogene_19
ACTG1P20	actin_gamma_1_pseudogene_20
ACTG1P21	actin_gamma_1_pseudogene_21
ACTG1P22	actin_gamma_1_pseudogene_22
ACTG1P23	actin_gamma_1_pseudogene_23
ACTG1P24	actin_gamma_1_pseudogene_24
ACTG2	actin,_gamma_2,_smooth_muscle,_enteric
ACTL6A	actin_like_6A
ACTL6B	actin_like_6B
ACTL7A	actin_like_7A
ACTL7B	actin_like_7B
ACTL8	actin_like_8
ACTL9	actin_like_9
ACTL10	actin_like_10
ACTN1	actinin_alpha_1
ACTN1-AS1	ACTN1_antisense_RNA_1
ACTN2	actinin_alpha_2
ACTN3	actinin_alpha_3_(gene/pseudogene)
ACTN4	actinin_alpha_4
ACTN4P1	actinin_alpha_4_pseudogene_1
ACTN4P2	actinin_alpha_4_pseudogene_2
ACTP1	actin_family_pseudogene_1
ACTR1A	ARP1_actin-related_protein_1_homolog_A,_centractin_alpha
ACTR1B	ARP1_actin-related_protein_1_homolog_B,_centractin_beta
ACTR2	ARP2_actin-related_protein_2_homolog_(yeast)
ACTR3	ARP3_actin-related_protein_3_homolog_(yeast)
ACTR3B	ARP3_actin-related_protein_3_homolog_B_(yeast)
ACTR3BP1	ACTR3B_pseudogene_1
ACTR3BP2	ACTR3B_pseudogene_2
ACTR3BP3	ACTR3B_pseudogene_3
ACTR3BP4	ACTR3B_pseudogene_4
ACTR3BP5	ACTR3B_pseudogene_5
ACTR3BP6	ACTR3B_pseudogene_6
ACTR3C	ARP3_actin-related_protein_3_homolog_C
ACTR3P1	ACTR3_pseudogene_1
ACTR3P2	ACTR3_pseudogene_2
ACTR3P3	ACTR3_pseudogene_3
ACTR5	ARP5_actin-related_protein_5_homolog
ACTR6	ARP6_actin-related_protein_6_homolog
ACTR6P1	ACTR6_pseudogene_1
ACTR8	ARP8_actin-related_protein_8_homolog
ACTR10	actin-related_protein_10_homolog
ACTRT1	actin_related_protein_T1
ACTRT2	actin_related_protein_T2
ACTRT3	actin_related_protein_T3
ACVR1	activin_A_receptor_type_1
ACVR1B	activin_A_receptor_type_1B
ACVR1C	activin_A_receptor_type_1C
ACVR2A	activin_A_receptor_type_2A
ACVR2B	activin_A_receptor_type_2B
ACVR2B-AS1	ACVR2B_antisense_RNA_1
ACVRL1	activin_A_receptor_like_type_1
ACY1	aminoacylase_1
ACY3	aminoacylase_3
ACYP1	acylphosphatase_1
ACYP2	acylphosphatase_2
AD5	Alzheimer_disease_5
ADA	adenosine_deaminase
ADAD1	adenosine_deaminase_domain_containing_1
ADAD1P1	adenosine_deaminase_domain_containing_1_pseudogene_1
ADAD1P2	adenosine_deaminase_domain_containing_1_pseudogene_2
ADAD2	adenosine_deaminase_domain_containing_2
ADAL	adenosine_deaminase-like
ADAM1A	ADAM_metallopeptidase_domain_1A_(pseudogene)
ADAM1B	ADAM_metallopeptidase_domain_1B_(pseudogene)
ADAM2	ADAM_metallopeptidase_domain_2
ADAM3A	ADAM_metallopeptidase_domain_3A_(pseudogene)
ADAM3B	ADAM_metallopeptidase_domain_3B_(pseudogene)
ADAM5	ADAM_metallopeptidase_domain_5_(pseudogene)
ADAM6	ADAM_metallopeptidase_domain_6_(pseudogene)
ADAM7	ADAM_metallopeptidase_domain_7
ADAM8	ADAM_metallopeptidase_domain_8
ADAM9	ADAM_metallopeptidase_domain_9
ADAM10	ADAM_metallopeptidase_domain_10
ADAM11	ADAM_metallopeptidase_domain_11
ADAM12	ADAM_metallopeptidase_domain_12
ADAM15	ADAM_metallopeptidase_domain_15
ADAM17	ADAM_metallopeptidase_domain_17
ADAM18	ADAM_metallopeptidase_domain_18
ADAM19	ADAM_metallopeptidase_domain_19
ADAM20	ADAM_metallopeptidase_domain_20
ADAM20P1	ADAM_metallopeptidase_domain_20_pseudogene_1
ADAM20P2	ADAM_metallopeptidase_domain_20_pseudogene_2
ADAM20P3	ADAM_metallopeptidase_domain_20_pseudogene_3
ADAM21	ADAM_metallopeptidase_domain_21
ADAM21P1	ADAM_metallopeptidase_domain_21_pseudogene_1
ADAM22	ADAM_metallopeptidase_domain_22
ADAM23	ADAM_metallopeptidase_domain_23
ADAM24P	ADAM_metallopeptidase_domain_24,_pseudogene
ADAM28	ADAM_metallopeptidase_domain_28
ADAM29	ADAM_metallopeptidase_domain_29
ADAM30	ADAM_metallopeptidase_domain_30
ADAM32	ADAM_metallopeptidase_domain_32
ADAM33	ADAM_metallopeptidase_domain_33
ADAMDEC1	ADAM-like,_decysin_1
ADAMTS1	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_1
ADAMTS2	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_2
ADAMTS3	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_3
ADAMTS4	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_4
ADAMTS5	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_5
ADAMTS6	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_6
ADAMTS7	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_7
ADAMTS7P1	ADAMTS7_pseudogene_1
ADAMTS7P3	ADAMTS7_pseudogene_3
ADAMTS7P4	ADAMTS7_pseudogene_4
ADAMTS8	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_8
ADAMTS9	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_9
ADAMTS9-AS1	ADAMTS9_antisense_RNA_1
ADAMTS9-AS2	ADAMTS9_antisense_RNA_2
ADAMTS10	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_10
ADAMTS12	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_12
ADAMTS13	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_13
ADAMTS14	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_14
ADAMTS15	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_15
ADAMTS16	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_16
ADAMTS17	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_17
ADAMTS18	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_18
ADAMTS19	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_19
ADAMTS19-AS1	ADAMTS19_antisense_RNA_1
ADAMTS20	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_20
ADAMTSL1	ADAMTS_like_1
ADAMTSL2	ADAMTS_like_2
ADAMTSL3	ADAMTS_like_3
ADAMTSL4	ADAMTS_like_4
ADAMTSL4-AS1	ADAMTSL4_antisense_RNA_1
ADAMTSL5	ADAMTS_like_5
ADAP1	ArfGAP_with_dual_PH_domains_1
ADAP2	ArfGAP_with_dual_PH_domains_2
ADAR	adenosine_deaminase,_RNA-specific
ADARB1	adenosine_deaminase,_RNA_specific_B1
ADARB2	adenosine_deaminase,_RNA_specific_B2_(inactive)
ADARB2-AS1	ADARB2_antisense_RNA_1
ADAT1	adenosine_deaminase,_tRNA_specific_1
ADAT2	adenosine_deaminase,_tRNA_specific_2
ADAT3	adenosine_deaminase,_tRNA_specific_3
ADCK1	aarF_domain_containing_kinase_1
ADCK2	aarF_domain_containing_kinase_2
ADCK3	aarF_domain_containing_kinase_3
ADCK4	aarF_domain_containing_kinase_4
ADCK5	aarF_domain_containing_kinase_5
ADCP1	adenosine_deaminase_complexing_protein_1
ADCY1	adenylate_cyclase_1_(brain)
ADCY2	adenylate_cyclase_2_(brain)
ADCY3	adenylate_cyclase_3
ADCY4	adenylate_cyclase_4
ADCY5	adenylate_cyclase_5
ADCY6	adenylate_cyclase_6
ADCY7	adenylate_cyclase_7
ADCY8	adenylate_cyclase_8_(brain)
ADCY9	adenylate_cyclase_9
ADCY10	adenylate_cyclase_10_(soluble)
ADCY10P1	adenylate_cyclase_10_(soluble)_pseudogene_1
ADCYAP1	adenylate_cyclase_activating_polypeptide_1
ADCYAP1R1	ADCYAP_receptor_type_I
ADD1	adducin_1
ADD2	adducin_2
ADD3	adducin_3
ADD3-AS1	ADD3_antisense_RNA_1
ADFN	albinism-deafness_syndrome
ADGB	androglobin
ADGRA1	adhesion_G_protein-coupled_receptor_A1
ADGRA1-AS1	adhesion_G_protein-coupled_receptor_A1_antisense_RNA_1
ADGRA2	adhesion_G_protein-coupled_receptor_A2
ADGRA3	adhesion_G_protein-coupled_receptor_A3
ADGRB1	adhesion_G_protein-coupled_receptor_B1
ADGRB2	adhesion_G_protein-coupled_receptor_B2
ADGRB3	adhesion_G_protein-coupled_receptor_B3
ADGRD1	adhesion_G_protein-coupled_receptor_D1
ADGRD2	adhesion_G_protein-coupled_receptor_D2
ADGRE1	adhesion_G_protein-coupled_receptor_E1
ADGRE2	adhesion_G_protein-coupled_receptor_E2
ADGRE3	adhesion_G_protein-coupled_receptor_E3
ADGRE4P	adhesion_G_protein-coupled_receptor_E4,_pseudogene
ADGRE5	adhesion_G_protein-coupled_receptor_E5
ADGRF1	adhesion_G_protein-coupled_receptor_F1
ADGRF2	adhesion_G_protein-coupled_receptor_F2
ADGRF3	adhesion_G_protein-coupled_receptor_F3
ADGRF4	adhesion_G_protein-coupled_receptor_F4
ADGRF5	adhesion_G_protein-coupled_receptor_F5
ADGRF5P1	adhesion_G_protein-coupled_receptor_F5_pseudogene_1
ADGRF5P2	adhesion_G_protein-coupled_receptor_F5_pseudogene_2
ADGRG1	adhesion_G_protein-coupled_receptor_G1
ADGRG2	adhesion_G_protein-coupled_receptor_G2
ADGRG3	adhesion_G_protein-coupled_receptor_G3
ADGRG4	adhesion_G_protein-coupled_receptor_G4
ADGRG5	adhesion_G_protein-coupled_receptor_G5
ADGRG6	adhesion_G_protein-coupled_receptor_G6
ADGRG7	adhesion_G_protein-coupled_receptor_G7
ADGRL1	adhesion_G_protein-coupled_receptor_L1
ADGRL2	adhesion_G_protein-coupled_receptor_L2
ADGRL3	adhesion_G_protein-coupled_receptor_L3
ADGRL3-AS1	adhesion_G_protein-coupled_receptor_L3_antisense_RNA_1
ADGRL4	adhesion_G_protein-coupled_receptor_L4
ADGRV1	adhesion_G_protein-coupled_receptor_V1
ADH1A	alcohol_dehydrogenase_1A_(class_I),_alpha_polypeptide
ADH1B	alcohol_dehydrogenase_1B_(class_I),_beta_polypeptide
ADH1C	alcohol_dehydrogenase_1C_(class_I),_gamma_polypeptide
ADH4	alcohol_dehydrogenase_4_(class_II),_pi_polypeptide
ADH5	alcohol_dehydrogenase_5_(class_III),_chi_polypeptide
ADH5P2	alcohol_dehydrogenase_5_(class_III),_chi_polypeptide,_pseudogene_2
ADH5P3	alcohol_dehydrogenase_5_(class_III),_chi_polypeptide,_pseudogene_3
ADH5P4	alcohol_dehydrogenase_5_(class_III),_chi_polypeptide,_pseudogene_4
ADH6	alcohol_dehydrogenase_6_(class_V)
ADH7	alcohol_dehydrogenase_7_(class_IV),_mu_or_sigma_polypeptide
ADHFE1	alcohol_dehydrogenase,_iron_containing_1
ADI1	acireductone_dioxygenase_1
ADIG	adipogenin
ADIPOQ	adiponectin,_C1Q_and_collagen_domain_containing
ADIPOQ-AS1	ADIPOQ_antisense_RNA_1
ADIPOR1	adiponectin_receptor_1
ADIPOR1P1	adiponectin_receptor_1_pseudogene_1
ADIPOR1P2	adiponectin_receptor_1_pseudogene_2
ADIPOR2	adiponectin_receptor_2
ADIRF	adipogenesis_regulatory_factor
ADIRF-AS1	ADIRF_antisense_RNA_1
ADK	adenosine_kinase
ADM	adrenomedullin
ADM2	adrenomedullin_2
ADM5	adrenomedullin_5_(putative)
ADNP	activity-dependent_neuroprotector_homeobox
ADNP-AS1	ADNP_antisense_RNA_1
ADNP2	ADNP_homeobox_2
ADO	2-aminoethanethiol_(cysteamine)_dioxygenase
ADORA1	adenosine_A1_receptor
ADORA2A	adenosine_A2a_receptor
ADORA2A-AS1	ADORA2A_antisense_RNA_1
ADORA2B	adenosine_A2b_receptor
ADORA2BP1	adenosine_A2b_receptor_pseudogene_1
ADORA3	adenosine_A3_receptor
ADPGK	ADP-dependent_glucokinase
ADPGK-AS1	ADPGK_antisense_RNA_1
ADPRH	ADP-ribosylarginine_hydrolase
ADPRHL1	ADP-ribosylhydrolase_like_1
ADPRHL2	ADP-ribosylhydrolase_like_2
ADPRM	ADP-ribose/CDP-alcohol_diphosphatase,_manganese_dependent
ADRA1A	adrenoceptor_alpha_1A
ADRA1B	adrenoceptor_alpha_1B
ADRA1D	adrenoceptor_alpha_1D
ADRA2A	adrenoceptor_alpha_2A
ADRA2B	adrenoceptor_alpha_2B
ADRA2C	adrenoceptor_alpha_2C
ADRB1	adrenoceptor_beta_1
ADRB2	adrenoceptor_beta_2
ADRB3	adrenoceptor_beta_3
ADRBK1	adrenergic,_beta,_receptor_kinase_1
ADRBK2	adrenergic,_beta,_receptor_kinase_2
ADRM1	adhesion_regulating_molecule_1
