#fusion	count_of_samples	%ofSamples
ACTB--FNIP1	251	6.82
SFTPA1--SFTPA2	248	6.74
DES--TPM2	247	6.72
GCDH--RPS6	245	6.66
DLG2--UNC45B	244	6.63
CCT8--FMO5	243	6.61
HLA-G--HLA-C	241	6.55
PLP2--PLP2|PRICKLE3	236	6.42
FRMD5--ACTB	236	6.42
RPL19--TFDP2	235	6.39
SFTPA2--SFTPA1	234	6.36
ALDOA--TEX36	234	6.36
METTL2A--METTL2B	231	6.28
ACTB--ACTG2	228	6.20
FLNA--DES	225	6.12
PCDH11X--EIF4A1	224	6.09
HBA2--HBA1	224	6.09
AKR1C1--AKR1C2	224	6.09
UBC--UBB	223	6.06
TPK1--EEF1A1	223	6.06
NDE1|MYH11--DES	223	6.06
HBA1--HBA2	221	6.01
ACTG2--ACTB	221	6.01
TPM2--NDE1|MYH11	220	5.98
HBB--HBA2	220	5.98
ARL6IP4--ABCB9|ARL6IP4	220	5.98
ZYG11B--RPS13	219	5.95
HBA2--HBB	219	5.95
NACA--AC002994.1|NACA2	218	5.93
DES--FLNA	217	5.90
DES--MYL9	215	5.85
ACTG1--TMEM222	215	5.85
PZP--TPT1	213	5.79
PTMA--DTWD2	213	5.79
MYL9--DES	213	5.79
HBB--HBA1	213	5.79
HBA1--HBB	213	5.79
RPL11--PTEN	212	5.76
FLNC--FLNA	212	5.76
COL1A1--COL1A2	212	5.76
TPM2--DES	210	5.71
CDH18--NUP50	210	5.71
RPS6--GCDH	208	5.66
HLA-E--HLA-A	208	5.66
RPL32--NUDCD3	205	5.57
FLNA--PCSK7|TAGLN	205	5.57
DES--NDE1|MYH11	205	5.57
PCSK7|TAGLN--NDE1|MYH11	204	5.55
NDE1|MYH11--PCSK7|TAGLN	204	5.55
ZKSCAN7--MPRIP	201	5.46
KDM4C--ACTB	200	5.44
HSPA1A|HSPA1L--HSPA1A	200	5.44
HLA-A--HLA-F	200	5.44
SAA2--SAA1	199	5.41
AKR1C2--AKR1C1	199	5.41
COL1A2--COL1A1	198	5.38
KRT6A--KRT5	196	5.33
HBD--HBB	196	5.33
PDE3A--HBB	194	5.27
TG|SLA--TG	188	5.11
TG--TG|SLA	188	5.11
RPL24--MAMDC2	188	5.11
FLNA--FLNC	188	5.11
RAB7A--BEST1|FTH1	184	5.00
METTL2B--METTL2A	184	5.00
FNIP1--ACTB	183	4.98
PCSK7|TAGLN--TPM2	182	4.95
KRT13--KRT15	182	4.95
DES--MYH7	182	4.95
ASPH--KRT8	181	4.92
DLG2--DPP10	180	4.89
PPIB--SNX22|PPIB	179	4.87
FKBP8--PPP1R12B	179	4.87
HLA-E--HLA-F	178	4.84
ACTB--ACTA1	178	4.84
KRT6B--KRT6A	177	4.81
RPL29--SLC35F1	175	4.76
HLA-DRB1--HLA-DPB1	175	4.76
AC002994.1|NACA2--NACA	172	4.68
PDE3A--HBA2	169	4.59
NDE1|MYH11--ACTA2	169	4.59
KRT5--KRT13	168	4.57
KRT13--KRT5	168	4.57
FLNA--TPM2	168	4.57
SH3BGRL3--SH3BGRL3|UBXN11	167	4.54
FLNA--MYH11	167	4.54
KRT13--KRT6A	166	4.51
RPS6--TMEM150C	165	4.49
KRT6A--KRT13	164	4.46
KRT6A--KRT6B	163	4.43
ACTB--FLNA	163	4.43
MYH7--DES	162	4.40
KRT4--KRT13	162	4.40
KRT15--KRT13	162	4.40
KRT13--KRT4	162	4.40
FLNA--ACTB	162	4.40
PCSK7|TAGLN--DES	161	4.38
ACTC1--ACTA2	161	4.38
PDE3A--KRT13	159	4.32
NDE1|MYH11--ACTB	159	4.32
MLF2|PTMS--PTMS	159	4.32
ACTA1--ACTC1	159	4.32
ACTA1--ACTB	158	4.30
CXorf40B--CXorf40A	157	4.27
ACSM2B--ACSM2A	157	4.27
TPM2--FLNA	156	4.24
RPS19--SNX6	156	4.24
ACTA2--ACTC1	156	4.24
HLA-G--HLA-A	155	4.21
EIF5--ASIP	155	4.21
ACTC1--ACTA1	155	4.21
ACSM2A--ACSM2B	155	4.21
SAA1--SAA2	154	4.19
PCSK7|TAGLN--MYH11	154	4.19
MYH11--FLNA	154	4.19
EIF5AL1--EIF5A	154	4.19
TMEM222--ACTG1	152	4.13
MYH1--MYH2	152	4.13
CYP4A22--CYP4A11	152	4.13
NAPEPLD--RPL19	151	4.11
IGFBP7--IGFBP7|POLR2B	150	4.08
DES--MYH11	150	4.08
TMEM99|KRT10--KRT10	149	4.05
TCEAL2--TCEAL4	149	4.05
MYL9--NDE1|MYH11	149	4.05
HLA-B--HLA-G	149	4.05
MYH11--DES	148	4.02
KRT13--KRT19	148	4.02
SPRR3--KRT13	147	4.00
S100A9--KRT13	147	4.00
KRT13--SPRR3	147	4.00
NDE1|MYH11--MYL9	146	3.97
TPT1--PDZD2	145	3.94
SEPP1--CCDC152|SEPP1	145	3.94
PTEN--RPL11	145	3.94
KRT13--S100A9	145	3.94
SFTPB--SFTPC	144	3.92
KRT6C--KRT6A	144	3.92
UBC--UBA52	143	3.89
SPRR1B--SPRR1A	143	3.89
KRT5--KRT1	143	3.89
HLA-DPB1--HLA-DRB1	142	3.86
GAPDH--MTUS2	142	3.86
ACTG1--ACTA2	142	3.86
RHCG--KRT13	141	3.83
KRT5--KRT4	141	3.83
KRT13--RHCG	141	3.83
CLCNKB--CLCNKA	141	3.83
ACTB--NDE1|MYH11	141	3.83
KRT13--CRNN	140	3.81
EEF1A1--C5orf34	140	3.81
PGK1--OPHN1	138	3.75
CRNN--KRT13	138	3.75
SFTPC--SFTPB	137	3.72
MYH2--MYH1	137	3.72
CXorf40A--CXorf40B	137	3.72
TUBA1C--TUBA1A	136	3.70
TAGLN--FLNA	136	3.70
DES--PCSK7|TAGLN	136	3.70
CYP4A11--CYP4A22	136	3.70
PTPRG--RPL10A	135	3.67
HABP2|NRAP--NRAP	135	3.67
HBB--S100A9	134	3.64
ACTA2--NDE1|MYH11	133	3.62
IFITM1--IFITM2	132	3.59
CCSER1--TMSB4X	131	3.56
S100A9--HBB	130	3.53
MYH11--TPM2	130	3.53
NDE1|MYH11--TAGLN	129	3.51
KRT13--CSTB	129	3.51
UBA52--UBC	128	3.48
SFTPC--SFTPA2	128	3.48
FCGR3B--FCGR3A	128	3.48
DES--CKM	127	3.45
CSTB--KRT13	127	3.45
TAOK3--RPS2	126	3.43
KRT10--TMEM99|KRT10	126	3.43
DTWD2--PTMA	126	3.43
PCBP2--CDS2	125	3.40
PABPC1--PDS5A	125	3.40
KRT6A--KRT6C	125	3.40
HBB--PDE3A	125	3.40
CKM--DES	125	3.40
SFTPB--SFTPA2	124	3.37
PSMD14--MXRA7	124	3.37
IFITM3--IFITM1	124	3.37
ACTG1--ACTA1	124	3.37
SFTPA2--SFTPC	122	3.32
SFTPA2--SFTPB	122	3.32
RPS16--ABCA3	122	3.32
KRT6A--KRT4	122	3.32
TPM2--MYH11	121	3.29
KRT14--KRT17	120	3.26
DES--VIM	120	3.26
DES--ACTA1	120	3.26
KRT4--KRT5	119	3.24
CKM--TPM2	119	3.24
ADRA1B--GAPDH	119	3.24
SLC25A37--HBB	118	3.21
OPHN1--PGK1	118	3.21
KRT13--SFN	118	3.21
HLA-DQB2--HLA-DQB1	118	3.21
ACTA2--ACTG1	118	3.21
SLC30A9--ATP1B1	117	3.18
SFN--KRT13	117	3.18
NRAP--HABP2|NRAP	117	3.18
HSPA1A--HSPA1B	117	3.18
DES--ACTG2	117	3.18
ACTA1--DES	117	3.18
ACTA1--ACTG1	117	3.18
DES--FLNC	116	3.15
CSF3R--HBB	116	3.15
VIM--DES	115	3.13
TUBA1C--TUBA1B	115	3.13
HBA2--S100A9	115	3.13
S100A9--HBA2	114	3.10
KRT6B--KRT13	114	3.10
KRT13--KRT6B	114	3.10
TAGLN--NDE1|MYH11	113	3.07
TUBA1B--TUBA1A	112	3.05
SFTPC--SFTPA1	112	3.05
PDE3A--S100A9	111	3.02
KRT19--KRT13	111	3.02
ATP1B1--SLC30A9	111	3.02
TUBA1A--TUBA1C	110	2.99
TMEM150C--RPS6	110	2.99
NDE1|MYH11--TNS1	110	2.99
KRT1--KRT5	110	2.99
KRT1--KRT10	110	2.99
SFTPA1--SFTPC	109	2.96
HBB--CSF3R	109	2.96
TAGLN--DES	108	2.94
RPS25--ARL14EPL	108	2.94
MYH2--MYH7	108	2.94
KRT13--PPL	108	2.94
CKM--MYH7	108	2.94
C5orf34--EEF1A1	108	2.94
ACTA2--FLNA	108	2.94
SPRR3--KRT4	107	2.91
SH3BGRL3|UBXN11--SH3BGRL3	107	2.91
PPL--KRT13	107	2.91
NDE1|MYH11--ACTG2	107	2.91
FLNA--TAGLN	107	2.91
MYH7--MYH2	106	2.88
HLA-DPA1|HLA-DPB1--HLA-DPB1	106	2.88
KRT6C--KRT13	105	2.85
KRT4--SPRR3	105	2.85
KHDC1--EIF3E	105	2.85
FLNA--ACTA2	105	2.85
ACTG2--DES	105	2.85
TTN--MYBPC1	104	2.83
TCEAL4--TCEAL2	104	2.83
PDE3A--EFCAB11	104	2.83
RAB5B--RAB13	103	2.80
PDE3A--HBA1	103	2.80
PPP1R12B--FKBP8	102	2.77
MYBPC1--TTN	102	2.77
HBB--HLA-B	102	2.77
ACTG2--FLNA	102	2.77
SFTPA1--SFTPB	101	2.75
KRT14--KRT16	101	2.75
SFTPB--SFTPA1	100	2.72
NDE1|MYH11--COL6A2	100	2.72
KRT8--ASPH	100	2.72
KRT4--S100A9	100	2.72
KRT4--KRT6A	100	2.72
HLA-B--HBB	100	2.72
FLNA--ACTG2	100	2.72
ACTG1--KRT13	100	2.72
S100A9--KRT4	99	2.69
REG1A--REG1B	99	2.69
KRT13--ACTG1	99	2.69
HLA-B--HBA2	99	2.69
GRB14--EIF3E	99	2.69
TPM2--CKM	98	2.66
SLC25A37--HBA2	98	2.66
RPS3--FAM19A2	98	2.66
MYH7--CKM	98	2.66
HBB--SLC25A37	98	2.66
GNB2L1--FER	98	2.66
EMR2--CD97	98	2.66
DES--TPM1	98	2.66
ANXA1--KRT13	98	2.66
TNS1--FLNA	97	2.64
PRSS3--PRSS1	97	2.64
NDE1|MYH11--CALD1	97	2.64
IGFBP7|POLR2B--IGFBP7	97	2.64
FER--GNB2L1	97	2.64
ASIP--EIF5	97	2.64
A2M--PZP	97	2.64
NDE1|MYH11--TPM1	96	2.61
KRT5--KRT6A	96	2.61
IL1RN--KRT13	96	2.61
HLA-F--HLA-E	96	2.61
HBA2--HLA-B	96	2.61
UBA52--C14orf37	95	2.58
KRT14--TMEM99|KRT10	95	2.58
KRT13--ANXA1	95	2.58
CSF3R--HBA2	95	2.58
ACTG2--NDE1|MYH11	95	2.58
MYH7--ACTA1	94	2.56
KRT10--KRT1	94	2.56
HSPB1--KRT13	94	2.56
ATP1B1--NME7|ATP1B1	94	2.56
ACTB--DES	94	2.56
S100A8--KRT13	93	2.53
KRT13--HSPB1	93	2.53
ARHGEF5--ARHGEF35	93	2.53
RAB1A--STAT1	92	2.50
KRT13--S100A8	92	2.50
KRT13--KRT14	92	2.50
HBB--FKBP8	92	2.50
FLNA--TNS1	92	2.50
FLNA--CSRP1	92	2.50
FKBP8--HBA2	92	2.50
DES--ACTB	92	2.50
S100A14--KRT13	91	2.47
KRT5--KRT14	91	2.47
FLNC--DES	91	2.47
HPR--HP	90	2.45
HBA2--CSF3R	90	2.45
CKM--ACTA1	90	2.45
ACTA1--MYH7	90	2.45
TMEM99|KRT10--KRT14	89	2.42
MXRA7--PSMD14	89	2.42
KRT13--TGM3	89	2.42
KRT13--KRT16	89	2.42
TNS1--NDE1|MYH11	88	2.39
TGM3--KRT13	88	2.39
SFTPC--CD74	88	2.39
KRT14--KRT5	88	2.39
KRT13--IL1RN	88	2.39
HBA2--FKBP8	88	2.39
FKBP8--HBB	88	2.39
CD74--SFTPC	88	2.39
BEST1|FTH1--RAB7A	88	2.39
ACTA1--CKM	88	2.39
SPRR1A--KRT13	87	2.37
PRSS1--PRSS3	87	2.37
MINK1|CHRNE--MINK1	87	2.37
KRT13--AHNAK	87	2.37
KRT1--TMEM99|KRT10	87	2.37
HP--HPR	87	2.37
HBB--HLA-E	87	2.37
HBB--HLA-C	87	2.37
AHNAK--KRT13	87	2.37
TNNC1--TNNC2	86	2.34
REG1B--REG1A	86	2.34
ORM2--ORM1	86	2.34
NDE1|MYH11--CSRP1	86	2.34
MB--DES	86	2.34
KRT13--KRT6C	86	2.34
HBB--FTL	86	2.34
HBA2--ACTB	86	2.34
FTL--HBB	86	2.34
DES--TAGLN	86	2.34
ALDH7A1--PDE8B	86	2.34
HLA-C--HBB	85	2.31
EMP1--KRT13	85	2.31
DCAF12--HBB	85	2.31
ACTB--HBA2	85	2.31
TNNC2--TNNC1	84	2.28
KRT13--TRIM29	84	2.28
KRT13--EMP1	84	2.28
KRT13--EEF2	84	2.28
KRT1--LOR	84	2.28
DES--MB	84	2.28
CSRP1--FLNA	84	2.28
PDE8B--ALDH7A1	83	2.26
KRT4--RHCG	83	2.26
KRT13--SPRR1A	83	2.26
HSPA1A--HSPA1A|HSPA1L	83	2.26
DES--CRYAB	83	2.26
CRNN--KRT4	83	2.26
CALD1--NDE1|MYH11	83	2.26
TRIM29--KRT13	82	2.23
TNNT2--MYH7	82	2.23
MYL9--TPM2	82	2.23
HLA-E--HBB	82	2.23
EEF2--KRT13	82	2.23
TMEM99|KRT10--KRT1	81	2.20
KRT5--SPRR3	81	2.20
KRT13--MUC21	81	2.20
KRT13--ACTB	81	2.20
FTL--HBA2	81	2.20
SRP9--TNKS2	80	2.18
SPRR1A--SPRR1B	80	2.18
SLC34A2--SFTPC	80	2.18
RPS28--ARMC9	80	2.18
PPP1R14B--ELF2	80	2.18
MYH7--TNNT2	80	2.18
HBA2--PDE3A	80	2.18
FLNA--COL6A2	80	2.18
ELF2--PPP1R14B	80	2.18
ADH1B--ADH1A	80	2.18
ACTB--KRT13	80	2.18
TFDP2--RPL19	79	2.15
SNX6--RPS19	79	2.15
SFTPC--SLC34A2	79	2.15
S100A9--HBA1	79	2.15
PLG--LPA	79	2.15
LOR--KRT1	79	2.15
KRT4--CRNN	79	2.15
DES--TTN	79	2.15
DES--TNNT2	79	2.15
ACTB--HBB	79	2.15
TTN--DES	78	2.12
TPM1--NDE1|MYH11	78	2.12
RHCG--KRT4	78	2.12
PDE3A--KRT4	78	2.12
MYO18A--ACTG1	78	2.12
MYH7--MYH1	78	2.12
KRT13--S100A14	78	2.12
ACTA2--ACTA1	78	2.12
TPM2--MYL9	77	2.09
TPM2--ACTG1	77	2.09
MYH7--MB	77	2.09
MUC21--KRT13	77	2.09
MB--MYH7	77	2.09
KRT6A--SPRR3	77	2.09
KRT13--AQP3	77	2.09
HBA2--FTL	77	2.09
DES--TNS1	77	2.09
COL1A1--COL3A1	77	2.09
CELA3A--CELA3B	77	2.09
TPM2--MYH7	76	2.07
SERPINA1--HP	76	2.07
PDGFC--KCTD10	76	2.07
HP--SERPINA1	76	2.07
COL6A2--FLNA	76	2.07
CCDC159|TMEM205|RAB3D--RAB3D|TMEM205	76	2.07
SPRR3--KRT5	75	2.04
KRT13--FAM129B	75	2.04
FN1--FLNA	75	2.04
DES--ALDOA	75	2.04
SOD2--FAM177B	74	2.01
SLC2A14--SLC2A3	74	2.01
SFTPB--CD74	74	2.01
SERPINA1--ALB	74	2.01
PCSK7--PCSK7|TAGLN	74	2.01
MYL9--ACTB	74	2.01
MYH7--TPM2	74	2.01
MYH1--MYH7	74	2.01
KRT4--S100A14	74	2.01
KRT4--CSTB	74	2.01
HP--ALB	74	2.01
HFM1--HBB	74	2.01
HBB--ACTB	74	2.01
HBA2--SLC25A37	74	2.01
GPX3--TG	74	2.01
GDI2--NEGR1	74	2.01
FMO5--CCT8	74	2.01
ALB--HP	74	2.01
ACTA1--ACTA2	74	2.01
TPO--TG	73	1.98
TPM1--DES	73	1.98
TG--GPX3	73	1.98
SFI1--RPS18	73	1.98
KRT78--KRT13	73	1.98
CTRB2--CTRB1	73	1.98
CRNN--S100A9	73	1.98
CKM--CKB	73	1.98
ALB--SERPINA1	73	1.98
TAGLN--MYH11	72	1.96
PTMS--MLF2|PTMS	72	1.96
KRT15--TMEM99|KRT10	72	1.96
GAPDH--DES	72	1.96
DSP--KRT13	72	1.96
CTRB1--CTRB2	72	1.96
COL6A2--NDE1|MYH11	72	1.96
ATAD3A--ATAD3B	72	1.96
TTN--MYH7	71	1.93
TPM2--PCSK7|TAGLN	71	1.93
TG--TPO	71	1.93
TFG--GPR128	71	1.93
LRRFIP1--KCNMB3	71	1.93
FPR1--HBB	71	1.93
FGA--ALB	71	1.93
DES--MYL2	71	1.93
CSTB--KRT4	71	1.93
COL3A1--COL1A1	71	1.93
CELA3B--CELA3A	71	1.93
CD74--SFTPB	71	1.93
TMEM176A|TMEM176B--TMEM176A	70	1.90
S100A14--KRT4	70	1.90
MYH11--PCSK7|TAGLN	70	1.90
MAMDC2--RPL24	70	1.90
KRT6A--S100A9	70	1.90
KRT13--KRT78	70	1.90
KRT13--DSP	70	1.90
KLK2--KLK3	70	1.90
HLA-C--HBA2	70	1.90
GAPDH--ADRA1B	70	1.90
FLNA--FN1	70	1.90
FER--GJA1	70	1.90
BCAS4--TMSB4X	70	1.90
AQP3--KRT13	70	1.90
ALB--FGA	70	1.90
ACTB--MYL9	70	1.90
REG1A--PRSS1	69	1.88
ORM1--ORM2	69	1.88
MYH7--TPM1	69	1.88
MKL1--RPL4	69	1.88
HLA-E--HLA-G	69	1.88
GJA1--FER	69	1.88
FMN2--PSMD2	69	1.88
DES--MYH6	69	1.88
CSF3R--HBA1	69	1.88
CKM--TTN	69	1.88
TTN--CKM	68	1.85
SPRR3--KRT6A	68	1.85
S100A9--KRT6A	68	1.85
PRSS1--REG1A	68	1.85
PRSS1--CTRB2	68	1.85
MYH11--TAGLN	68	1.85
INTS4--SLCO5A1	68	1.85
FAM129B--KRT13	68	1.85
DES--CNN1	68	1.85
COL6A2--DES	68	1.85
CELA3A--CTRB2	68	1.85
CD74--SFTPA2	68	1.85
ACADM--DLST	68	1.85
A2ML1--KRT13	68	1.85
TPSD1--TPSAB1	67	1.82
SH3BGR--MYL6	67	1.82
S100A9--CRNN	67	1.82
PRSS1--CEL	67	1.82
MPRIP--ZKSCAN7	67	1.82
IQCA1--RPL3	67	1.82
CTRB2--PRSS1	67	1.82
CTRB2--CELA3A	67	1.82
CSRP1--NDE1|MYH11	67	1.82
C3--HP	67	1.82
TOMM7--PDZD2	66	1.79
PRSS1--CPA1	66	1.79
MYH7B--MYH7	66	1.79
MTUS2--GAPDH	66	1.79
KRT6B--KRT5	66	1.79
KRT5--KRT2	66	1.79
KRT4--PPL	66	1.79
HBA2--IFITM2	66	1.79
FLNA--COL6A1	66	1.79
DES--CSRP1	66	1.79
CYP4F3--CYP4F2	66	1.79
CYP4F2--CYP4F3	66	1.79
CTRB2--CPA1	66	1.79
CTRB1--PRSS1	66	1.79
CPA1--PRSS1	66	1.79
CLIC1--CEP112	66	1.79
CEL--PRSS1	66	1.79
C3--ALB	66	1.79
ARL14EPL--RPS25	66	1.79
ALDOA--DES	66	1.79
ALB--FGG	66	1.79
ALB--C3	66	1.79
AGBL5|OST4--OST4	66	1.79
TUBA1B--TUBA1C	65	1.77
TTN--ACTA1	65	1.77
RPLP1--ATOX1	65	1.77
PSAP--SFTPC	65	1.77
PRSS1--CTRB1	65	1.77
PRSS1--CELA3A	65	1.77
PKP1--KRT13	65	1.77
HP--C3	65	1.77
HBB--HFM1	65	1.77
FGG--ALB	65	1.77
CPA1--CTRB2	65	1.77
CELA3A--PRSS1	65	1.77
CD74--SFTPA1	65	1.77
CD52--CD52|UBXN11	65	1.77
TPM1--MYH7	64	1.74
SFTPC--PSAP	64	1.74
SFTPA2--CD74	64	1.74
S100A8--KRT4	64	1.74
REG1A--CEL	64	1.74
PRSS1--GP2	64	1.74
PPL--KRT4	64	1.74
PCSK7|TAGLN--MYL9	64	1.74
MYL2--MYH7	64	1.74
MAL--KRT13	64	1.74
KRT6B--KRT6C	64	1.74
KRT13--ECM1	64	1.74
HLA-E--HBA2	64	1.74
HBB--FPR1	64	1.74
GPC3--RPS24	64	1.74
GP2--PRSS1	64	1.74
GLUD2--GLUD1	64	1.74
FGA--SERPINA1	64	1.74
ECM1--KRT13	64	1.74
DES--GAPDH	64	1.74
CPB1--CPA1	64	1.74
CEL--REG1A	64	1.74
ACTG2--MYL9	64	1.74
ACTC1--ACTG2	64	1.74
ACTA1--TTN	64	1.74
ACTA1--FLNC	64	1.74
TNS1--DES	63	1.71
TECR--AFF1	63	1.71
SPRR3--SPRR1A	63	1.71
SLC35F2--RPLP2	63	1.71
SFTPA1--CD74	63	1.71
SERPINA1--FGA	63	1.71
SERPINA1--C3	63	1.71
SAA1--SAA4	63	1.71
REG1A--CPA1	63	1.71
PNLIP--CPA1	63	1.71
PGC--PGA5	63	1.71
PGC--PGA3	63	1.71
PGA3--PGA5	63	1.71
PDE3A--S100A8	63	1.71
MYL2--DES	63	1.71
MYH7--TTN	63	1.71
KRT13--EVPL	63	1.71
IFITM2--HBA2	63	1.71
IFITM1--IFITM3	63	1.71
HCAR2|HCAR1--HCAR3|HCAR1	63	1.71
GP2--CTRB1	63	1.71
GAPDH--KRT13	63	1.71
DES--TCAP	63	1.71
DES--COL6A2	63	1.71
CTRB1--CEL	63	1.71
CPA1--GP2	63	1.71
CPA1--CTRB1	63	1.71
CPA1--CPB1	63	1.71
CPA1--CELA3A	63	1.71
CELA3A--CEL	63	1.71
CEL--CTRB2	63	1.71
CEL--CELA3A	63	1.71
C4B--C4A	63	1.71
C10orf54--HBB	63	1.71
TPM3--TPM2	62	1.69
STAT1--RAB1A	62	1.69
SLC35F1--RPL29	62	1.69
RPS3--WWOX	62	1.69
PRSS1--CELA3B	62	1.69
PLP2|PRICKLE3--PLP2	62	1.69
PGA5--PGC	62	1.69
PGA5--PGA3	62	1.69
PGA3--PGC	62	1.69
MMP25--HBA2	62	1.69
LYPD3--KRT13	62	1.69
HLA-G--HLA-E	62	1.69
GP2--CPA1	62	1.69
GP2--CELA3A	62	1.69
FGB--ALB	62	1.69
CTRB2--CEL	62	1.69
CTRB1--CPA1	62	1.69
CSRP1--DES	62	1.69
CPA1--REG1A	62	1.69
CPA1--CEL	62	1.69
CLPS--CPA1	62	1.69
CELA3B--PRSS1	62	1.69
CELA2B--CELA2A	62	1.69
CEL--CTRB1	62	1.69
CEL--CPA1	62	1.69
ALB--FGB	62	1.69
AGER--SFTPC	62	1.69
AFF1--TECR	62	1.69
ACTA1--ALDOA	62	1.69
TNNT2--DES	61	1.66
TAGLN--CNN1	61	1.66
SLCO5A1--HFM1	61	1.66
PRSS1--MYO3A	61	1.66
NDE1|MYH11--SRRM2	61	1.66
MYL9--MYH11	61	1.66
MYH9--SFTPC	61	1.66
KRT13--PDE3A	61	1.66
KRT13--LYPD3	61	1.66
KRT1--KRT14	61	1.66
HP--FGA	61	1.66
HBB--GAPDH	61	1.66
HBA1--CSF3R	61	1.66
GOLGA8A--GOLGA8B	61	1.66
FGA--HP	61	1.66
EVPL--KRT13	61	1.66
EIF4A1--PCDH11X	61	1.66
CTRB1--GP2	61	1.66
CTRB1--CELA3A	61	1.66
CPA1--PNLIP	61	1.66
CELA3A--GP2	61	1.66
CELA3A--CTRB1	61	1.66
CELA3A--CPA1	61	1.66
CELA2A--CELA2B	61	1.66
TMEM99|KRT10--KRT2	60	1.63
TG--PAX8	60	1.63
TG--CTSB	60	1.63
