#see: http://cancer.sanger.ac.uk/cosmic/fusion
#fusion	samples	mutations	papers 
TRIM24/RET	146	1	10
TRIM27/RET	71	1	7
TRIM33/RET	146	1	13
UBE2L3/KRAS	1	1	1
VCL/ALK	2	2	5
VTI1A/TCF7L2	98	4	1
YWHAE/FAM22A	685	2	7
YWHAE/NUTM2B	736	13	7
ZC3H7B/BCOR	4	2	2
ZCCHC8/ROS1	38	1	1
ZNF700/MAST1	153	1	1
ZSCAN30/BRAF	11	1	1
