Table S3. A list of recurrent fusion transcripts across 13 tumor types															
FusionPair	BLCA	BRCA	GBM	HNSC	KIRC	LAML	LGG	LUAD	LUSC	OV	PRAD	SKCM	THCA	ALL	Previously reported
SRPK2__PUS7	0	2	0	0	0	0	0	0	0	0	0	0	1	3	no
ERC1__RET	0	1	0	0	0	0	0	0	0	0	0	0	2	3	yes
RNF138__RNF125	0	1	0	0	0	0	0	1	0	0	0	0	1	3	no
NFIX__DAND5	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
RNASE10__CD38	0	0	0	2	0	0	0	0	1	0	0	0	0	3	no
SFPQ__TFE3	0	0	0	0	3	0	0	0	0	0	0	0	0	3	yes
TRIP12__SLC16A14	0	0	0	0	2	0	0	1	0	0	0	0	0	3	no
ABL1__BCR	0	0	0	0	0	3	0	0	0	0	0	0	0	3	yes
MLL__ELL	0	0	0	0	0	3	0	0	0	0	0	0	0	3	yes
ZBTB20__LSAMP	0	0	0	0	0	0	1	1	0	0	1	0	0	3	no
COL14A1__DEPTOR	0	0	0	0	0	0	0	1	0	2	0	0	0	3	no
NCOA3__EYA2	0	0	0	0	0	0	0	1	1	1	0	0	0	3	no
PPARG__PAX8	0	0	0	0	0	0	0	0	0	0	0	0	3	3	yes
SND1__BRAF	0	0	0	0	0	0	0	0	0	0	0	0	3	3	yes
ZFAND3__AL353597.1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	no
B3GALTL__C13orf26	1	0	0	0	0	0	0	0	0	0	0	1	0	2	no
PLXNA1__CHCHD6	1	0	0	0	0	0	0	0	0	0	1	0	0	2	no
ITGB6__RBMS1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
TBC1D14__HTRA3	1	0	1	0	0	0	0	0	0	0	0	0	0	2	no
RASA2__ZBTB38	1	0	0	0	0	0	0	1	0	0	0	0	0	2	no
ACOX1__SRP68	1	0	0	0	0	0	0	1	0	0	0	0	0	2	no
HERC1__DAPK2	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
SNX30__KIAA1958	1	0	0	0	0	0	0	0	0	0	1	0	0	2	no
ARHGAP10__TMEM184C	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
EIF2AK2__CEBPZ	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
RNF19A__ANKRD46	1	0	0	0	0	0	0	0	1	0	0	0	0	2	no
SF3B3__DDX19B	1	0	1	0	0	0	0	0	0	0	0	0	0	2	no
PCCA__CLYBL	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
GDPD1__SMG8	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
CYFIP1__TUBGCP5	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
ZDHHC20__EFHA1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	no
IFFO2__UBR4	1	1	0	0	0	0	0	0	0	0	0	0	0	2	no
COMMD10__AP3S1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	no
AFAP1__ABLIM2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
TCF25__SPIRE2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
TMEM135__C11orf67	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
RARA__PCTP	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
HOOK3__TM2D2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
CTPS2__RBBP7	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
CDC42EP4__SDK2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
SBNO2__C19orf20	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
SPTBN1__ACYP2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
POSTN__YY1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
MRPL21__FAM168A	0	1	0	0	0	0	0	0	1	0	0	0	0	2	no
PPP2CB__PURG	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
SFMBT1__RFT1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
ASXL1__TM9SF4	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
EPS15L1__CALR3	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
RNF13__TM4SF4	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
DCAF6__MPZL1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
MVP__KIF22	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
PNPLA7__WDR85	0	1	0	0	1	0	0	0	0	0	0	0	0	2	no
SMARCA4__DNM2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
EXT1__SAMD12	0	1	0	1	0	0	0	0	0	0	0	0	0	2	no
EHMT1__GRIN1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	no
KAT6A__IKBKB	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
ATL2__HNRPLL	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
GIGYF2__EFHD1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
MYO1E__BNIP2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
MRPS16__TTC18	0	1	0	0	0	0	0	0	0	0	0	0	1	2	no
C20orf112__COMMD7	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
HECTD2__PCGF5	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
AMBRA1__HARBI1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
BCAS3__RAD51C	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
PRRC2B__NUP214	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
ARFGEF1__CPA6	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
C10orf11__ADK	0	1	0	0	0	0	0	0	1	0	0	0	0	2	no
MSL2__STAG1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
TARBP1__RBM34	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
ABCB8__NOS3	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
TRPM4__PPFIA3	0	1	0	0	0	0	0	0	0	0	1	0	0	2	no
MYO1D__TMIGD1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
FZR1__NFIC	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
UVRAG__MAP6	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
ADK__KCNMA1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	no
PDHX__CAT	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
AGBL4__FAF1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	no
CNOT2__RAB3IP	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
TSPAN14__DYDC2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
PTPN12__AC007000.1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	no
KANK1__DOCK8	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
KIAA0195__ICT1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
ADD1__SH3BP2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
NAV2__CNTN5	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
EFHD1__EIF4E2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
WAC__APBB1IP	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
FIG4__WASF1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
ARNTL__TEAD1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	no
SLC39A11__SDK2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
SPAG7__CAMTA2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	no
MTF1__SF3A3	0	1	1	0	0	0	0	0	0	0	0	0	0	2	no
CTNND1__TMX2	0	1	0	0	1	0	0	0	0	0	0	0	0	2	no
CAPZA2__MET	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
EHBP1__COMMD1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
UBN1__MGRN1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
LTBP1__BIRC6	0	1	0	0	0	1	0	0	0	0	0	0	0	2	no
TRIB1__NSMCE2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
BCL2L11__ACOXL	0	1	0	0	0	0	0	0	1	0	0	0	0	2	no
WWC1__ODZ2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
TRIM2__ARFIP1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
TPT1__NCALD	0	1	0	0	1	0	0	0	0	0	0	0	0	2	no
ARHGEF10L__PADI4	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
TET3__ACTG2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
KDM4B__UHRF1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
GOLGA4__MLH1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	no
PLEKHF2__C8orf38	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
MLL3__CNTNAP2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
AGRN__NOC4L	0	1	0	0	0	0	0	0	1	0	0	0	0	2	no
CATSPERB__TRIP11	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
KDM2A__SYT12	0	1	1	0	0	0	0	0	0	0	0	0	0	2	no
ARHGEF11__ETV3	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
NRP2__PARD3B	0	1	0	1	0	0	0	0	0	0	0	0	0	2	no
PPFIBP1__C12orf70	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
C10orf18__NET1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
NEMF__C14orf182	0	1	0	0	0	0	0	0	1	0	0	0	0	2	no
PUM1__NKAIN1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
SH3BP5__METTL6	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
WHSC1L1__FGFR1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
TYW1__C7orf42	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
TBL1XR1__PIK3CA	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
NEMF__SOS2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
RERE__GPR157	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
RP11-73M18.2__MARK3	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
ACLY__DNAJC7	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
TANC1__PKP4	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
BUB1B__EIF2AK4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
NADK__C1orf222	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
MSI2__TEX2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
CTSH__RASGRF1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
TBC1D4__COMMD6	0	2	0	0	0	0	0	0	0	0	0	0	0	2	no
USP32__APPBP2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
CSE1L__ARFGEF2	0	1	0	0	1	0	0	0	0	0	0	0	0	2	no
PTPRG__FHIT	0	1	0	0	0	0	0	0	0	0	1	0	0	2	no
CTTN__FOLR1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	no
BIN3__PEBP4	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
SORL1__TECTA	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
CELF1__MTCH2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	no
MAN1A2__CD101	0	1	0	0	0	0	0	0	0	1	0	0	0	2	no
TMEM123__MMP20	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
CTD-2589C9.4__FOXR1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	no
ATF7__ATP5G2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	no
OSGIN2__RIPK2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	no
LANCL2__SEPT14	0	0	2	0	0	0	0	0	0	0	0	0	0	2	no
TM9SF4__HM13	0	0	1	0	0	0	0	0	1	0	0	0	0	2	no
KIF1B__UBE4B	0	0	1	0	1	0	0	0	0	0	0	0	0	2	no
C10orf26__SUFU	0	0	1	0	0	0	0	1	0	0	0	0	0	2	no
AC008745.1__EHD2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	no
PANX1__HEPHL1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	no
GPC6__GPC5	0	0	0	1	1	0	0	0	0	0	0	0	0	2	no
LYN__TGS1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	no
ARHGDIA__SQSTM1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	no
TRMT11__HINT3	0	0	0	1	0	0	0	1	0	0	0	0	0	2	no
PXN__MSI1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	no
CPSF6__C9orf3	0	0	0	1	0	0	0	1	0	0	0	0	0	2	no
SWAP70__WEE1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	no
MYO6__SENP6	0	0	0	1	0	0	0	1	0	0	0	0	0	2	no
NADK__GNB1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	no
EDEM2__UQCC	0	0	0	0	1	0	0	0	0	0	0	1	0	2	no
GFPT1__NFU1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	no
KDM2A__PACS1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	no
MLLT10__PICALM	0	0	0	0	0	2	0	0	0	0	0	0	0	2	yes
PICALM__MLLT10	0	0	0	0	0	2	0	0	0	0	0	0	0	2	yes
NSD1__NUP98	0	0	0	0	0	2	0	0	0	0	0	0	0	2	yes
MLL__MLLT4	0	0	0	0	0	2	0	0	0	0	0	0	0	2	yes
GLG1__CFDP1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	no
PTPRZ1__FYN	0	0	0	0	0	0	2	0	0	0	0	0	0	2	no
EIF4G3__ECE1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	no
SWAP70__ZNF143	0	0	0	0	0	0	1	1	0	0	0	0	0	2	no
ANK2__ALPK1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	no
ST7__MET	0	0	0	0	0	0	1	1	0	0	0	0	0	2	no
PRKCA__PITPNC1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	no
ATP11A__C13orf35	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
HIF1A__PRKCH	0	0	0	0	0	0	0	1	0	1	0	0	0	2	no
FBXO34__LGALS3	0	0	0	0	0	0	0	1	0	1	0	0	0	2	no
RICTOR__FYB	0	0	0	0	0	0	0	1	1	0	0	0	0	2	no
MTMR12__ZFR	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
AMBRA1__ARHGAP1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
ATP2A2__IFT81	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
TAF4__TSHZ2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
RRBP1__TASP1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
SNAI1__PFDN4	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
ADAM9__RNF170	0	0	0	0	0	0	0	1	1	0	0	0	0	2	no
LDLRAD3__TRIM44	0	0	0	0	0	0	0	1	0	0	0	1	0	2	no
SEMA3F__RBM6	0	0	0	0	0	0	0	1	1	0	0	0	0	2	no
MTUS1__FGL1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
CTNND1__ZDHHC5	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
YAP1__C11orf70	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
FRYL__OCIAD2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	no
ATOH8__GNLY	0	0	0	0	0	0	0	2	0	0	0	0	0	2	no
STX5__WDR74	0	0	0	0	0	0	0	1	1	0	0	0	0	2	no
ERO1LB__HEATR1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	no
EPN1__U2AF2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	no
SPOP__SLC35B1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	no
ERGIC1__RANBP17	0	0	0	0	0	0	0	0	2	0	0	0	0	2	no
ADD1__FAM193A	0	0	0	0	0	0	0	0	1	1	0	0	0	2	no
KDM2A__C11orf80	0	0	0	0	0	0	0	0	1	0	1	0	0	2	no
RSF1__INTS4	0	0	0	0	0	0	0	0	1	0	0	1	0	2	no
AGGF1__RAF1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	no
NDRG1__ERG	0	0	0	0	0	0	0	0	0	0	2	0	0	2	no
