FUS--CREB3L2	SA_LGFMS=2
KMT2A--MLLT1	AL_bi=2,Skin=2,ALL=2,AML=12
KMT2A--DCPS	Skin=2
TRA--MYC	ALL=2
TEX10--XPA	DLBL=1
NUP98--POU1F1	AML=2
KMT2A--SEPT9	Skin=2,AML=12
UAP1--TSHZ2	CA_ad=2
PAX5--ETV6	ALL=2
TRD--LMO1	ALL=2
MYC--ZBTB5	DLBL=2
IGH--TRA	AIL=2,T-PLL=2,MTC_NOS=2,ALL=2
ZFP36L1--IGHA2	DLBL=3
IGH--MIR125B1	ALL=2
EWSR1--ERG	SA_Ewing=2
PML--CDC6	AML=2
USP16--RUNX1	Spleen=2
KMT2A--AFF1	AL_bi=2,Skin=2,ALL=7,AML=8
TRD--TLX1	ALL=2
IGL--PVT1	BL=2
IGH--BCL6	FL=5,DLBL=2,MBC_NOS=2
ETV6--JAK2	ALL=2
KMT2A--MYO1F	Skin=2,AML=2
KMT2A--FOXR1	Neurbl=1
BCL11B--NKX2-5	ALL=2
IGH--CEBPA	ALL=2
IGH--ERVWE1	B-CLL/SLL=2
NUP98--PSIP1	AML=4
NUP98--HOXA13	AML=2
IGH--FGFR3	MM=2,B-CLL/SLL=2
MYC--ZCCHC7	DLBL=2
SET--NUP214	Skin=1,ALL=2,AML=1
IER3IP1--HDHD2	Mening=1
IGL--MYC	MM=2,BL=2,DLBL=2
IGK--CDK6	SMZL=2
HMGA2--LPP	Lip=2
IGK--BCL6	FL=2,MBC_NOS=2
C11ORF95--MKL2	Lip_chondr=2
IGH--CRLF2	ALL=4
BCR--PDGFRA	Lymph=2,CEL/HES=2
TRB--HOXA11	ALL=2
TRD--LMO2	ALL=2
IGH--CCND3	PCL=2,SMZL=2,DLBL=2
KCNQ5--RIMS1	CA_ad=1
ETV6--ABL1	ALL=2
GAS5--BCL6	DLBL=2
RIC3--TRBC1	ALL=2
RUNX1--CLCA2	AML=2
RPN1--MECOM	Skin=2,AML=4
TRA--OLIG2	ALL=2
PAX7--FOXO1	SA_rhabd_alv=2
RUNX1--USP42	AML=4
PVT1--WWOX	MM=28
IGH--SPIB	DLBL=2
KMT2A--ZFYVE19	AML=2
PAX5--KIF3B	ALL=2
IKZF1--BCL6	DLBL=2
CCDC6--RET	CA_ad=2
NOP2--TCF3	ALL=2
PML--RARA	Heart=2,AL_bi=2,Skin=2,AML=8
KMT2A--AFF4	ALL=2
FUS--DDIT3	SA_lip_myx=2
KMT2A--FOXO4	AML=2
KMT2A--TIRAP	Skin=2
IGH--MALT1	MALT=2,DLBL=2
RPN1--PRDM16	Skin=2,MDS_NOS=2,RAEB-2=2,RARS=2,Spleen=2,AML=8
CPSF6--FGFR1	CMD_NOS=2
FOXP1--IGHA2	DLBL=2
IGK--KDSR	FL=2
FXYD6--KMT2A	ALL=2
KMT2A--ABI1	AML=4
IGL--BCL6	FL=2,BL=2,DLBL=2,MBC_NOS=2
STRADB--NOP58	CA_ad=1
FUS--ERG	SA_Ewing=2,Skin=2,ALL=2,AML=12
HMGA2--RAD51L1	Lei=2
KMT2A--VAV1	Skin=2
CHIC2--ETV6	AML=4
TRB--LMO1	ALL=2
JAZF1--SUZ12	End_stromal=2
TRA--CDKN2A	ALL=2
PICALM--MLLT10	ALL=2
BCR--FGFR1	ALL=2,CMD_NOS=2
ITPR3--PNPLA1	DLBL=1
CBFB--MYH11	Heart=2,Skin=2,MDS_NOS=2,RARS=2,AML=22
NUP98--KMT2A	AML=4
IGH--TRD	ALL=2
TCF3--PBX1	ALL=2,BL=2
NUP98--HOXD13	AML=2
TRB--HOXA	ALL=4
LIFR--PLAG1	Ad=2
KMT2A--CASC5	AML=2
FIP1L1--RARA	AML=2
PVT1--ZCCHC7	DLBL=2
PAX5--ELN	ALL=2
P2RY8--CRLF2	ALL=1
ETV6--MECOM	Heart=2,Skin=2,AML=2
NPM1--MLF1	AML=2
SFRS3--BCL6	FL=2
TCF3--ZNF384	ALL=2
KMT2A--SEPT2	AML=2
TRB--HOXA10	ALL=2
IGH--BCL10	MALT=2
NDST2--RUNX1	ALL=2
NUP98--HOXD11	AML=2
KAT6A--CREBBP	Skin=2,AML=10
DSCAML1--KMT2A	ALL=2
TRA--MTCP1	T-PLL=2
ETV6--SYK	ALL=2
WDR18--H2AFX	Skin=2
KMT2A--MLLT3	Skin=2,ALL=2,AML=14
YWHAE--FAM22B	End_stromal=2
KMT2A--MLLT11	Skin=2,AML=6
TRA--IRF4	PTL=2
MNX1--ETV6	AML=6
IGK--BCL2	FL=2,DLBL=2
NUP98--DDX10	Skin=2,AML=2
TRB--TLX1	ALL=2
KMT2A--SEPT5	AML=2
ZBTB16--RARA	Skin=2,AML=2
BCL11B--TLX3	ALL=2
HSP90AA1--BCL6	DLBL=2
KMT2A--MLLT6	AML=2
BCR--RALGPS1	ALL=2
LPP--BCL6	DLBL=1
TRA--PVRL2	PTL=2
KMT2A--MAML2	ALL=2
IGL--BCL9	FL=2
SS18--SSX4	SA_syn=2
SFPQ--TFE3	CA_ad=2
